G,Date,Location,Opp,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
25,2024-02-17,@,George Washington,W,90,74,36,64,0.563,7,18,0.389,11,13,0.846,4,32,21,3,4,4,12,,26,64,0.406,11,27,0.407,11,15,0.733,7,29,10,3,0,7,14,Richmond
26,2024-02-21,@,Rhode Island,W,85,77,33,60,0.55,9,21,0.429,10,18,0.556,6,30,21,6,3,7,17,,27,59,0.458,9,19,0.474,14,18,0.778,9,29,17,4,2,12,17,Richmond
27,2024-02-24,,Davidson,W,66,63,21,51,0.412,7,21,0.333,17,22,0.773,5,29,13,8,3,9,15,,22,54,0.407,6,22,0.273,13,17,0.765,10,36,10,5,0,13,18,Richmond
28,2024-02-28,@,Saint Louis,W,80,64,31,60,0.517,11,19,0.579,7,9,0.778,4,30,19,9,2,9,13,,23,61,0.377,7,20,0.35,11,14,0.786,11,34,16,6,7,11,10,Richmond
29,2024-03-02,,VCU,W,79,76,26,49,0.531,9,22,0.409,18,26,0.692,3,30,9,6,4,10,12,,26,56,0.464,10,24,0.417,14,18,0.778,4,27,13,7,3,9,17,Richmond
30,2024-03-06,,St. Joseph's,W,73,66,26,56,0.464,3,9,0.333,18,22,0.818,5,31,11,6,4,8,15,,25,61,0.41,9,30,0.3,7,13,0.538,8,32,8,6,6,13,19,Richmond
31,2024-03-09,@,George Mason,L,46,64,19,46,0.413,4,15,0.267,4,8,0.5,4,23,8,4,1,13,10,,26,50,0.52,7,17,0.412,5,9,0.556,5,28,12,7,3,9,14,Richmond
32,2024-03-14,N,St. Joseph's,L,61,66,24,56,0.429,5,18,0.278,8,11,0.727,5,29,16,6,3,7,17,,23,55,0.418,6,22,0.273,14,18,0.778,11,40,8,4,1,11,11,Richmond
33,2024-03-19,@,Virginia Tech,L,58,74,23,61,0.377,6,22,0.273,6,9,0.667,6,26,12,3,3,8,17,,26,54,0.481,7,18,0.389,15,17,0.882,7,34,15,4,2,8,10,Richmond
1,2023-11-07,,Albany (NY),W,92,71,33,76,0.434,10,22,0.455,16,26,0.615,15,38,20,12,4,4,21,,20,56,0.357,9,26,0.346,22,31,0.71,7,34,10,2,5,17,23,Massachusetts
2,2023-11-13,,Quinnipiac,W,102,81,39,70,0.557,11,28,0.393,13,20,0.65,10,32,23,9,2,7,20,,26,60,0.433,6,20,0.3,23,30,0.767,13,33,16,4,2,15,18,Massachusetts
3,2023-11-17,,Harvard,L (1 OT),75,78,29,78,0.372,7,28,0.25,10,25,0.4,20,45,14,10,4,12,19,,27,61,0.443,11,24,0.458,13,18,0.722,10,40,17,6,7,16,21,Massachusetts
4,2023-11-22,,Central Connecticut,W,89,60,35,58,0.603,8,21,0.381,11,15,0.733,8,32,29,9,5,10,16,,18,53,0.34,7,22,0.318,17,22,0.773,9,22,14,4,3,14,14,Massachusetts
5,2023-12-02,,South Florida,W,66,56,18,54,0.333,4,25,0.16,26,41,0.634,13,44,13,9,4,16,25,,15,55,0.273,5,22,0.227,21,27,0.778,11,33,12,8,2,17,30,Massachusetts
6,2023-12-06,@,Towson,L,71,81,25,54,0.463,7,18,0.389,14,20,0.7,8,25,11,5,3,10,22,,26,54,0.481,6,16,0.375,23,34,0.676,10,30,9,7,6,9,21,Massachusetts
7,2023-12-09,,UMass-Lowell,W,91,77,35,72,0.486,5,18,0.278,16,20,0.8,15,38,21,11,4,13,19,,29,68,0.426,5,21,0.238,14,21,0.667,13,33,12,7,4,14,17,Massachusetts
8,2023-12-16,N,West Virginia,W,87,79,27,62,0.435,8,21,0.381,25,32,0.781,12,44,21,5,2,14,16,,28,70,0.4,14,31,0.452,9,12,0.75,6,23,17,4,1,10,24,Massachusetts
9,2023-12-21,N,Georgia Tech,L,70,73,26,67,0.388,10,31,0.323,8,19,0.421,12,27,11,16,3,11,20,,25,51,0.49,5,17,0.294,18,21,0.857,9,37,7,6,5,21,16,Massachusetts
10,2023-12-23,N,Portland,W,100,78,35,59,0.593,9,25,0.36,21,23,0.913,9,32,21,10,1,11,24,,26,58,0.448,7,26,0.269,19,26,0.731,11,24,14,4,2,12,17,Massachusetts
11,2023-12-24,N,Old Dominion,W,87,65,33,61,0.541,5,14,0.357,16,22,0.727,9,38,19,8,2,13,20,,23,54,0.426,2,16,0.125,17,28,0.607,7,27,7,11,4,14,17,Massachusetts
12,2023-12-30,,Siena,W,79,66,27,61,0.443,4,14,0.286,21,24,0.875,10,29,13,15,4,9,17,,23,57,0.404,5,19,0.263,15,19,0.789,13,31,8,6,5,18,18,Massachusetts
13,2024-01-03,,Duquesne,W,80,61,27,51,0.529,2,10,0.2,24,34,0.706,7,33,13,6,3,12,20,,21,58,0.362,6,22,0.273,13,22,0.591,12,30,11,7,0,14,23,Massachusetts
14,2024-01-07,@,Dayton,L,60,64,24,66,0.364,3,22,0.136,9,15,0.6,18,41,11,7,1,8,19,,18,47,0.383,10,29,0.345,18,21,0.857,6,29,12,4,2,11,11,Massachusetts
15,2024-01-10,,La Salle,W,81,65,31,63,0.492,5,13,0.385,14,21,0.667,12,39,18,6,4,11,18,,26,61,0.426,7,25,0.28,6,15,0.4,7,27,15,6,4,12,16,Massachusetts
16,2024-01-13,@,Rhode Island,L,77,89,27,66,0.409,3,15,0.2,20,28,0.714,14,32,9,3,4,3,24,,27,52,0.519,14,23,0.609,21,28,0.75,8,34,14,0,2,9,23,Massachusetts
17,2024-01-17,@,Loyola (IL),L,78,79,24,58,0.414,8,20,0.4,22,31,0.71,13,31,10,7,1,10,24,,26,56,0.464,6,21,0.286,21,31,0.677,12,32,20,7,4,12,24,Massachusetts
18,2024-01-20,,George Washington,W,81,67,33,65,0.508,8,27,0.296,7,11,0.636,9,35,22,5,3,8,17,,21,58,0.362,9,26,0.346,16,20,0.8,9,32,14,7,0,15,14,Massachusetts
19,2024-01-23,,St. Joseph's,L,77,78,29,65,0.446,5,16,0.313,14,17,0.824,10,38,19,9,4,17,16,,29,61,0.475,9,19,0.474,11,17,0.647,7,33,14,11,6,13,15,Massachusetts
20,2024-01-27,@,Saint Louis,W,84,73,29,61,0.475,7,22,0.318,19,23,0.826,11,35,13,8,5,6,14,,24,55,0.436,11,25,0.44,14,16,0.875,5,24,16,5,1,12,19,Massachusetts
21,2024-02-03,,George Mason,W,66,65,21,54,0.389,7,22,0.318,17,24,0.708,16,37,13,9,4,16,19,,22,53,0.415,7,18,0.389,14,19,0.737,9,23,14,10,1,13,22,Massachusetts
22,2024-02-07,@,St. Bonaventure,L,73,79,28,58,0.483,6,18,0.333,11,16,0.688,8,29,16,6,1,12,24,,27,53,0.509,6,17,0.353,19,28,0.679,8,28,12,7,5,11,15,Massachusetts
23,2024-02-11,,Rhode Island,W,81,79,31,64,0.484,11,28,0.393,8,18,0.444,8,31,20,9,2,9,13,,29,61,0.475,8,15,0.533,13,16,0.813,6,24,15,6,3,12,18,Massachusetts
24,2024-02-14,@,Richmond,W,69,59,21,55,0.382,6,22,0.273,21,24,0.875,9,44,10,3,4,11,17,,18,54,0.333,7,25,0.28,16,25,0.64,4,26,8,8,2,6,18,Massachusetts
25,2024-02-17,@,La Salle,L,81,82,25,59,0.424,8,27,0.296,23,28,0.821,8,34,13,6,4,7,17,,28,59,0.475,9,21,0.429,17,22,0.773,9,35,18,6,4,10,19,Massachusetts
26,2024-02-20,,VCU,W,74,52,28,59,0.475,8,25,0.32,10,12,0.833,9,39,18,11,2,10,13,,17,56,0.304,8,25,0.32,10,12,0.833,10,31,11,7,3,13,11,Massachusetts
27,2024-02-24,,St. Bonaventure,L,67,75,23,57,0.404,7,25,0.28,14,22,0.636,12,29,14,6,2,14,17,,27,57,0.474,6,16,0.375,15,19,0.789,11,33,16,7,2,10,18,Massachusetts
28,2024-02-27,@,George Washington,W,69,57,30,58,0.517,8,24,0.333,1,4,0.25,7,29,18,8,2,13,10,,21,52,0.404,6,28,0.214,9,12,0.75,9,25,10,10,0,12,7,Massachusetts
29,2024-03-02,@,Davidson,W,69,67,24,67,0.358,5,24,0.208,16,23,0.696,18,42,8,4,4,9,16,,27,56,0.482,2,14,0.143,11,17,0.647,5,29,15,4,13,10,18,Massachusetts
30,2024-03-06,,Fordham,W,66,64,22,52,0.423,7,19,0.368,15,24,0.625,6,33,10,1,3,7,19,,23,65,0.354,7,28,0.25,11,19,0.579,15,34,13,4,2,6,21,Massachusetts
31,2024-03-14,N,VCU,L,59,73,19,54,0.352,7,24,0.292,14,19,0.737,10,25,12,3,2,9,23,,22,44,0.5,6,17,0.353,23,30,0.767,9,30,16,8,3,12,19,Massachusetts
1,2023-11-06,,McNeese State,L,65,76,22,53,0.415,11,36,0.306,10,14,0.714,9,33,17,3,9,14,17,,27,59,0.458,8,17,0.471,14,22,0.636,8,31,11,9,1,5,18,Virginia Commonwealth
2,2023-11-10,,Samford,W,75,65,25,51,0.49,5,18,0.278,20,25,0.8,12,37,13,15,6,19,16,,23,66,0.348,8,26,0.308,11,14,0.786,14,30,15,12,2,15,24,Virginia Commonwealth
3,2023-11-15,,Radford,W,73,50,24,50,0.48,6,20,0.3,19,26,0.731,7,32,13,5,3,10,17,,18,54,0.333,4,18,0.222,10,17,0.588,9,29,5,7,2,17,19,Virginia Commonwealth
4,2023-11-18,,Seattle,W,60,56,19,49,0.388,5,22,0.227,17,22,0.773,9,35,11,7,3,12,14,,18,55,0.327,6,24,0.25,14,19,0.737,9,31,9,8,0,9,21,Virginia Commonwealth
5,2023-11-23,N,Iowa State,L,64,68,20,44,0.455,10,23,0.435,14,18,0.778,3,20,11,3,5,16,22,,24,59,0.407,2,13,0.154,18,30,0.6,13,31,11,7,1,7,14,Virginia Commonwealth
6,2023-11-24,N,Boise State,L,61,65,21,53,0.396,6,22,0.273,13,15,0.867,9,37,12,5,5,14,18,,21,51,0.412,6,16,0.375,17,21,0.81,4,22,7,8,3,8,19,Virginia Commonwealth
7,2023-11-26,N,Penn State,W,86,74,28,52,0.538,8,15,0.533,22,28,0.786,6,31,11,6,6,13,24,,23,52,0.442,5,17,0.294,23,35,0.657,6,27,8,8,4,10,19,Virginia Commonwealth
8,2023-12-01,,Norfolk State,L,60,63,17,47,0.362,8,28,0.286,18,22,0.818,10,33,12,0,6,15,14,,23,54,0.426,2,16,0.125,15,17,0.882,5,24,9,9,2,6,19,Virginia Commonwealth
9,2023-12-06,,Memphis,L (1 OT),80,85,29,69,0.42,7,29,0.241,15,21,0.714,15,31,13,8,2,10,21,,27,57,0.474,8,21,0.381,23,29,0.793,11,35,10,7,2,18,21,Virginia Commonwealth
10,2023-12-10,,Alcorn State,W,86,58,29,60,0.483,17,39,0.436,11,13,0.846,9,34,22,8,7,11,16,,19,55,0.345,4,14,0.286,16,19,0.842,7,27,9,6,0,10,14,Virginia Commonwealth
11,2023-12-16,,Temple,W,87,78,30,59,0.508,9,24,0.375,18,21,0.857,8,33,18,8,2,12,14,,29,64,0.453,12,34,0.353,8,13,0.615,12,31,16,8,1,12,17,Virginia Commonwealth
12,2023-12-22,,Maryland-Eastern Shore,W,75,51,27,55,0.491,7,21,0.333,14,22,0.636,9,39,16,9,5,8,11,,19,57,0.333,5,20,0.25,8,15,0.533,8,28,12,7,2,9,19,Virginia Commonwealth
13,2023-12-30,,Gardner-Webb,W,87,73,35,69,0.507,8,24,0.333,9,10,0.9,11,36,20,6,7,12,15,,26,67,0.388,6,23,0.261,15,21,0.714,9,26,14,7,0,8,12,Virginia Commonwealth
14,2024-01-03,,St. Bonaventure,L,78,89,28,56,0.5,8,21,0.381,14,18,0.778,5,28,15,3,7,11,18,,28,58,0.483,12,22,0.545,21,27,0.778,9,33,11,5,3,7,17,Virginia Commonwealth
15,2024-01-06,,George Washington,L,82,84,27,65,0.415,11,24,0.458,17,22,0.773,12,31,13,5,3,8,19,,27,49,0.551,9,16,0.563,21,26,0.808,2,25,10,5,6,10,15,Virginia Commonwealth
16,2024-01-09,@,George Mason,W,54,50,18,51,0.353,7,25,0.28,11,15,0.733,9,34,10,10,5,11,14,,20,54,0.37,0,15,0.0,10,13,0.769,9,29,3,9,2,11,14,Virginia Commonwealth
17,2024-01-13,@,La Salle,W,71,65,23,48,0.479,6,13,0.462,19,28,0.679,8,36,17,5,6,15,16,,22,65,0.338,6,23,0.261,15,19,0.789,11,32,9,9,1,9,19,Virginia Commonwealth
18,2024-01-19,,Saint Louis,W,85,61,27,54,0.5,11,23,0.478,20,25,0.8,5,32,15,5,7,8,16,,20,56,0.357,4,20,0.2,17,18,0.944,5,26,9,4,3,11,20,Virginia Commonwealth
19,2024-01-23,,Loyola (IL),W,74,67,23,52,0.442,9,15,0.6,19,23,0.826,6,32,12,7,0,12,16,,25,60,0.417,4,20,0.2,13,17,0.765,9,28,10,7,6,9,21,Virginia Commonwealth
20,2024-01-27,@,Davidson,W,63,58,18,48,0.375,10,26,0.385,17,21,0.81,4,24,12,9,2,6,17,,19,52,0.365,4,19,0.211,16,19,0.842,12,37,9,3,4,10,19,Virginia Commonwealth
21,2024-01-30,@,St. Bonaventure,L,62,67,21,53,0.396,11,29,0.379,9,11,0.818,3,27,11,3,2,11,18,,21,59,0.356,5,22,0.227,20,23,0.87,14,39,8,6,4,9,13,Virginia Commonwealth
22,2024-02-03,,Richmond,W,63,52,20,54,0.37,5,18,0.278,18,20,0.9,9,42,15,3,4,11,16,,18,51,0.353,3,18,0.167,13,17,0.765,3,24,12,6,2,9,19,Virginia Commonwealth
23,2024-02-06,@,Fordham,W,75,60,26,51,0.51,9,21,0.429,14,16,0.875,3,29,18,6,4,13,12,,23,60,0.383,10,26,0.385,4,7,0.571,9,28,13,10,5,15,14,Virginia Commonwealth
24,2024-02-09,,Dayton,W,49,47,20,53,0.377,5,21,0.238,4,8,0.5,4,34,13,6,4,8,12,,17,47,0.362,4,17,0.235,9,18,0.5,2,29,9,5,1,8,11,Virginia Commonwealth
25,2024-02-16,@,Saint Louis,W,95,85,28,57,0.491,12,26,0.462,27,31,0.871,12,35,13,5,4,14,21,,27,57,0.474,8,23,0.348,23,30,0.767,7,22,14,10,3,10,23,Virginia Commonwealth
26,2024-02-20,@,UMass,L,52,74,17,56,0.304,8,25,0.32,10,12,0.833,10,31,11,7,3,13,11,,28,59,0.475,8,25,0.32,10,12,0.833,9,39,18,11,2,10,13,Virginia Commonwealth
27,2024-02-25,,St. Joseph's,W,73,69,24,55,0.436,8,22,0.364,17,19,0.895,9,37,19,5,2,9,16,,22,56,0.393,12,29,0.414,13,19,0.684,7,30,11,5,4,9,17,Virginia Commonwealth
28,2024-02-28,,Rhode Island,W,88,67,30,62,0.484,10,29,0.345,18,21,0.857,10,36,15,10,4,10,17,,22,53,0.415,9,28,0.321,14,18,0.778,6,24,13,4,4,15,17,Virginia Commonwealth
29,2024-03-02,@,Richmond,L,76,79,26,56,0.464,10,24,0.417,14,18,0.778,4,27,13,7,3,9,17,,26,49,0.531,9,22,0.409,18,26,0.692,3,30,9,6,4,10,12,Virginia Commonwealth
30,2024-03-05,,Duquesne,L,59,69,21,49,0.429,8,22,0.364,9,14,0.643,6,28,11,7,2,14,16,,24,57,0.421,10,28,0.357,11,12,0.917,9,30,11,8,0,10,15,Virginia Commonwealth
31,2024-03-08,@,Dayton,L (1 OT),86,91,32,71,0.451,18,42,0.429,4,6,0.667,9,29,13,6,5,11,21,,30,56,0.536,12,22,0.545,19,25,0.76,5,35,19,4,2,14,12,Virginia Commonwealth
32,2024-03-13,N,Fordham,W,69,62,17,42,0.405,8,21,0.381,27,39,0.692,10,31,10,8,3,13,19,,20,49,0.408,9,25,0.36,13,18,0.722,8,27,4,7,2,12,24,Virginia Commonwealth
33,2024-03-14,N,UMass,W,73,59,22,44,0.5,6,17,0.353,23,30,0.767,9,30,16,8,3,12,19,,19,54,0.352,7,24,0.292,14,19,0.737,10,25,12,3,2,9,23,Virginia Commonwealth
34,2024-03-16,N,St. Joseph's,W,66,60,29,57,0.509,4,20,0.2,4,8,0.5,5,28,8,10,5,8,12,,24,55,0.436,8,27,0.296,4,7,0.571,8,31,19,7,1,13,13,Virginia Commonwealth
35,2024-03-17,N,Duquesne,L,51,57,17,47,0.362,5,24,0.208,12,14,0.857,6,30,9,10,9,15,16,,17,57,0.298,8,25,0.32,15,21,0.714,17,38,13,12,2,10,14,Virginia Commonwealth
1,2023-11-06,,Monmouth,W,72,61,23,49,0.469,9,20,0.45,17,25,0.68,8,40,13,5,7,16,14,,22,65,0.338,9,25,0.36,8,12,0.667,10,28,10,9,4,12,21,George Mason
2,2023-11-10,,Austin Peay,W,67,45,21,53,0.396,7,25,0.28,18,25,0.72,10,40,10,4,1,11,15,,17,59,0.288,3,19,0.158,8,10,0.8,10,32,6,10,3,9,23,George Mason
3,2023-11-15,,Cornell,W,90,83,31,62,0.5,9,22,0.409,19,25,0.76,13,34,13,8,5,11,18,,28,60,0.467,14,29,0.483,13,17,0.765,10,29,16,8,2,13,22,George Mason
4,2023-11-19,N,Charlotte,L,49,54,16,48,0.333,5,18,0.278,12,15,0.8,4,24,8,6,0,12,19,,17,46,0.37,4,14,0.286,16,20,0.8,5,31,8,6,6,9,15,George Mason
5,2023-11-20,N,South Dakota State,W,73,71,27,59,0.458,10,26,0.385,9,10,0.9,11,39,12,3,5,11,13,,29,60,0.483,8,21,0.381,5,12,0.417,5,25,10,4,1,6,13,George Mason
6,2023-11-25,,East Carolina,W,81,59,32,55,0.582,9,24,0.375,8,11,0.727,6,31,18,6,7,6,15,,20,58,0.345,6,20,0.3,13,21,0.619,10,27,9,3,3,6,14,George Mason
7,2023-11-29,,NJIT,W,86,68,30,60,0.5,9,16,0.563,17,29,0.586,13,41,16,7,1,9,16,,20,60,0.333,12,30,0.4,16,20,0.8,9,33,11,4,3,10,25,George Mason
8,2023-12-02,@,Toledo,W,86,77,31,60,0.517,8,15,0.533,16,18,0.889,12,36,12,6,5,13,24,,24,57,0.421,5,14,0.357,24,30,0.8,10,27,9,8,7,9,19,George Mason
9,2023-12-05,@,Tennessee,L,66,87,24,56,0.429,11,25,0.44,7,11,0.636,4,25,11,6,4,13,15,,32,65,0.492,9,26,0.346,14,22,0.636,11,40,27,8,4,9,12,George Mason
10,2023-12-16,,Loyola (MD),W,62,54,19,49,0.388,4,20,0.2,20,29,0.69,11,41,8,1,5,8,14,,18,58,0.31,6,23,0.261,12,17,0.706,10,33,10,6,1,7,19,George Mason
11,2023-12-19,,Bridgewater (VA),W,84,60,31,52,0.596,3,11,0.273,19,25,0.76,5,40,9,4,7,16,16,,21,68,0.309,12,35,0.343,6,12,0.5,12,28,14,8,4,10,17,George Mason
12,2023-12-22,@,Tulane,W,69,66,23,53,0.434,8,21,0.381,15,21,0.714,7,41,15,5,6,15,18,,20,58,0.345,10,31,0.323,16,21,0.762,5,28,12,12,4,8,16,George Mason
13,2023-12-30,,North Carolina A&T,W,94,69,34,58,0.586,6,22,0.273,20,25,0.8,10,35,16,6,4,11,18,,23,56,0.411,7,21,0.333,16,25,0.64,8,23,8,8,1,10,18,George Mason
14,2024-01-03,@,La Salle,W,77,62,29,55,0.527,7,13,0.538,12,15,0.8,9,38,15,4,2,13,13,,23,61,0.377,9,29,0.31,7,9,0.778,3,20,12,7,4,7,13,George Mason
15,2024-01-06,,Saint Louis,W,79,67,22,50,0.44,8,22,0.364,27,34,0.794,8,23,7,6,2,5,13,,26,54,0.481,7,20,0.35,8,11,0.727,6,28,11,3,4,16,26,George Mason
16,2024-01-09,,VCU,L,50,54,20,54,0.37,0,15,0.0,10,13,0.769,9,29,3,9,2,11,14,,18,51,0.353,7,25,0.28,11,15,0.733,9,34,10,10,5,11,14,George Mason
17,2024-01-13,@,Richmond,L,70,77,25,55,0.455,8,22,0.364,12,14,0.857,8,31,14,3,1,10,20,,24,50,0.48,10,20,0.5,19,21,0.905,4,26,10,7,2,7,14,George Mason
18,2024-01-15,@,George Washington,L,62,75,22,67,0.328,5,23,0.217,13,15,0.867,11,32,12,12,3,11,17,,23,54,0.426,8,21,0.381,21,24,0.875,10,39,11,4,7,16,13,George Mason
19,2024-01-20,,St. Bonaventure,W,69,60,23,49,0.469,7,21,0.333,16,23,0.696,7,29,10,3,1,12,14,,21,59,0.356,7,25,0.28,11,12,0.917,11,30,6,4,3,10,23,George Mason
20,2024-01-27,,Rhode Island,W,92,84,30,59,0.508,7,22,0.318,25,33,0.758,9,36,10,3,4,2,18,,29,57,0.509,13,27,0.481,13,24,0.542,6,29,12,1,1,8,29,George Mason
21,2024-01-31,@,St. Joseph's,L,73,75,28,61,0.459,10,27,0.37,7,11,0.636,4,25,16,6,1,9,13,,28,55,0.509,8,22,0.364,11,17,0.647,8,32,12,8,7,11,11,George Mason
22,2024-02-03,@,UMass,L,65,66,22,53,0.415,7,18,0.389,14,19,0.737,9,23,14,10,1,13,22,,21,54,0.389,7,22,0.318,17,24,0.708,16,37,13,9,4,16,19,George Mason
23,2024-02-07,,Loyola (IL),L,79,85,22,37,0.595,9,17,0.529,26,33,0.788,4,25,9,3,2,17,23,,27,53,0.509,11,26,0.423,20,26,0.769,4,15,14,7,3,6,26,George Mason
24,2024-02-10,@,Davidson,W,57,55,19,46,0.413,6,16,0.375,13,18,0.722,9,34,8,4,2,14,16,,18,52,0.346,7,27,0.259,12,13,0.923,9,27,11,7,4,10,15,George Mason
25,2024-02-13,,George Washington,W,90,67,34,60,0.567,10,26,0.385,12,17,0.706,8,39,14,5,4,9,14,,26,65,0.4,8,27,0.296,7,10,0.7,7,28,10,7,2,7,16,George Mason
26,2024-02-21,,Dayton,W,71,67,21,44,0.477,5,17,0.294,24,29,0.828,9,29,9,2,4,11,15,,23,56,0.411,11,26,0.423,10,14,0.714,9,22,17,6,1,6,20,George Mason
27,2024-02-24,@,Loyola (IL),L,59,80,18,54,0.333,5,22,0.227,18,24,0.75,12,29,11,8,4,15,20,,30,54,0.556,10,21,0.476,10,20,0.5,11,32,24,12,3,11,21,George Mason
28,2024-02-27,@,Fordham,L,60,61,22,51,0.431,5,15,0.333,11,15,0.733,7,34,12,3,5,14,15,,19,59,0.322,12,30,0.4,11,14,0.786,12,30,12,7,8,7,16,George Mason
29,2024-03-02,,Duquesne,L,51,59,18,48,0.375,4,20,0.2,11,19,0.579,10,26,8,10,2,15,19,,19,39,0.487,3,15,0.2,18,22,0.818,3,26,9,12,3,18,21,George Mason
30,2024-03-06,@,Rhode Island,W,69,51,25,57,0.439,9,26,0.346,10,16,0.625,8,37,12,5,4,5,19,,15,51,0.294,4,19,0.211,17,26,0.654,8,30,7,2,6,8,13,George Mason
31,2024-03-09,,Richmond,W,64,46,26,50,0.52,7,17,0.412,5,9,0.556,5,28,12,7,3,9,14,,19,46,0.413,4,15,0.267,4,8,0.5,4,23,8,4,1,13,10,George Mason
32,2024-03-13,N,St. Joseph's,L,57,64,23,56,0.411,1,13,0.077,10,11,0.909,8,29,8,5,6,8,13,,23,51,0.451,10,27,0.37,8,10,0.8,5,25,14,6,4,8,12,George Mason
1,2023-11-06,,Longwood,W,73,69,27,59,0.458,11,31,0.355,8,10,0.8,7,27,17,3,6,8,18,,24,61,0.393,3,17,0.176,18,25,0.72,18,40,8,4,2,12,14,St. Bonaventure
2,2023-11-11,,Canisius,L,67,70,23,57,0.404,4,20,0.2,17,26,0.654,11,32,7,9,5,11,13,,27,54,0.5,12,24,0.5,4,7,0.571,3,26,16,5,3,17,19,St. Bonaventure
3,2023-11-16,N,Oklahoma State,W,66,64,21,51,0.412,6,19,0.316,18,21,0.857,11,32,9,8,1,11,16,,23,52,0.442,7,23,0.304,11,18,0.611,11,28,16,4,1,14,19,St. Bonaventure
4,2023-11-17,N,Auburn,L,60,77,23,58,0.397,3,24,0.125,11,13,0.846,9,27,12,5,1,14,20,,25,52,0.481,8,24,0.333,19,27,0.704,10,32,20,4,3,13,17,St. Bonaventure
5,2023-11-22,,Bucknell,W,67,61,23,56,0.411,10,28,0.357,11,13,0.846,10,29,19,8,5,12,14,,20,46,0.435,9,24,0.375,12,15,0.8,3,24,13,4,2,13,16,St. Bonaventure
6,2023-11-25,,Miami (OH),W,90,60,36,65,0.554,11,25,0.44,7,8,0.875,13,40,20,4,6,9,14,,22,56,0.393,7,27,0.259,9,10,0.9,5,19,13,0,1,10,11,St. Bonaventure
7,2023-12-02,@,Buffalo,W,80,65,28,58,0.483,10,24,0.417,14,19,0.737,10,34,20,7,7,12,16,,22,58,0.379,2,17,0.118,19,27,0.704,13,34,11,8,5,11,17,St. Bonaventure
8,2023-12-06,@,Niagara,W,94,60,38,57,0.667,12,19,0.632,6,9,0.667,8,30,14,4,3,8,18,,19,48,0.396,7,21,0.333,15,18,0.833,2,13,10,3,0,9,11,St. Bonaventure
9,2023-12-09,,Siena,W,89,56,32,58,0.552,10,24,0.417,15,20,0.75,8,33,13,7,4,6,15,,21,55,0.382,6,21,0.286,8,15,0.533,7,28,10,2,4,14,16,St. Bonaventure
10,2023-12-16,N,Florida Atlantic,L,54,64,20,48,0.417,7,18,0.389,7,11,0.636,2,28,13,8,4,20,17,,23,56,0.411,5,20,0.25,13,23,0.565,9,35,12,9,1,12,14,St. Bonaventure
11,2023-12-22,,Binghamton,W,90,64,32,58,0.552,10,21,0.476,16,18,0.889,8,33,18,8,3,10,16,,26,55,0.473,3,15,0.2,9,14,0.643,4,23,16,5,1,13,14,St. Bonaventure
12,2023-12-30,N,Akron,W,62,61,24,63,0.381,4,15,0.267,10,13,0.769,15,35,7,10,4,7,19,,21,48,0.438,7,21,0.333,12,19,0.632,7,30,12,3,3,12,13,St. Bonaventure
13,2024-01-03,@,VCU,W,89,78,28,58,0.483,12,22,0.545,21,27,0.778,9,33,11,5,3,7,17,,28,56,0.5,8,21,0.381,14,18,0.778,5,28,15,3,7,11,18,St. Bonaventure
14,2024-01-06,@,Richmond,L,54,65,19,49,0.388,5,17,0.294,11,14,0.786,5,30,5,4,1,14,15,,24,55,0.436,5,21,0.238,12,18,0.667,9,34,16,11,4,6,11,St. Bonaventure
15,2024-01-13,,Fordham,L,74,80,24,60,0.4,6,18,0.333,20,22,0.909,6,33,8,4,2,9,18,,28,55,0.509,9,25,0.36,15,23,0.652,6,33,13,3,5,8,21,St. Bonaventure
16,2024-01-17,,Rhode Island,W,99,64,38,66,0.576,11,24,0.458,12,17,0.706,7,25,22,9,8,4,19,,22,54,0.407,6,19,0.316,14,22,0.636,9,33,11,3,0,18,16,St. Bonaventure
17,2024-01-20,@,George Mason,L,60,69,21,59,0.356,7,25,0.28,11,12,0.917,11,30,6,4,3,10,23,,23,49,0.469,7,21,0.333,16,23,0.696,7,29,10,3,1,12,14,St. Bonaventure
18,2024-01-23,@,Duquesne,L,50,54,16,59,0.271,2,13,0.154,16,24,0.667,13,36,4,9,3,16,23,,15,49,0.306,7,21,0.333,17,30,0.567,12,38,11,10,8,13,17,St. Bonaventure
19,2024-01-26,,St. Joseph's,W,91,72,36,62,0.581,12,27,0.444,7,8,0.875,6,24,23,11,6,6,7,,30,58,0.517,10,24,0.417,2,2,1.0,8,28,16,4,2,15,8,St. Bonaventure
20,2024-01-30,,VCU,W,67,62,21,59,0.356,5,22,0.227,20,23,0.87,14,39,8,6,4,9,13,,21,53,0.396,11,29,0.379,9,11,0.818,3,27,11,3,2,11,18,St. Bonaventure
21,2024-02-02,@,Dayton,L,71,76,28,66,0.424,10,30,0.333,5,8,0.625,11,33,13,4,1,6,22,,25,51,0.49,3,15,0.2,23,29,0.793,8,30,11,2,7,6,11,St. Bonaventure
