G,Date,Location,Opp,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
24,2024-02-13,,Ole Miss,W,75,63,28,54,0.519,6,18,0.333,13,17,0.765,3,32,17,8,12,15,18,,24,65,0.369,5,23,0.217,10,18,0.556,10,31,14,11,6,11,15,Kentucky
25,2024-02-17,@,Auburn,W,70,59,24,54,0.444,4,13,0.308,18,24,0.75,9,36,10,8,3,12,23,,17,55,0.309,4,22,0.182,21,30,0.7,12,34,11,8,5,11,16,Kentucky
26,2024-02-21,@,LSU,L,74,75,27,62,0.435,8,20,0.4,12,12,1.0,8,29,9,10,5,12,19,,25,56,0.446,9,20,0.45,16,25,0.64,11,37,12,6,3,13,13,Kentucky
27,2024-02-24,,Alabama,W,117,95,41,65,0.631,13,24,0.542,22,26,0.846,7,24,24,11,7,10,21,,34,60,0.567,6,17,0.353,21,27,0.778,8,27,14,5,1,16,21,Kentucky
28,2024-02-27,@,Mississippi State,W,91,89,33,60,0.55,10,30,0.333,15,17,0.882,5,24,15,9,7,10,18,,33,64,0.516,11,25,0.44,12,17,0.706,11,31,16,6,0,15,17,Kentucky
29,2024-03-02,,Arkansas,W,111,102,34,60,0.567,9,20,0.45,34,42,0.81,6,31,19,7,3,15,18,,34,64,0.531,7,17,0.412,27,28,0.964,4,25,13,10,1,11,25,Kentucky
30,2024-03-06,,Vanderbilt,W,93,77,37,73,0.507,11,27,0.407,8,9,0.889,12,40,27,4,4,10,18,,31,69,0.449,5,23,0.217,10,13,0.769,8,32,11,4,2,8,13,Kentucky
31,2024-03-09,@,Tennessee,W,85,81,27,59,0.458,15,29,0.517,16,18,0.889,8,38,12,5,9,14,20,,28,74,0.378,12,36,0.333,13,19,0.684,14,35,17,9,5,7,16,Kentucky
32,2024-03-15,N,Texas A&M,L,87,97,30,60,0.5,11,27,0.407,16,22,0.727,8,32,21,4,10,14,24,,32,69,0.464,11,26,0.423,22,30,0.733,9,34,14,9,3,5,17,Kentucky
1,2023-11-06,,Mississippi Valley State,W,106,60,34,59,0.576,14,26,0.538,24,34,0.706,12,38,19,12,5,12,21,,21,55,0.382,6,15,0.4,12,23,0.522,12,29,5,7,2,18,22,LSU
2,2023-11-10,,Nicholls State,L,66,68,22,56,0.393,3,19,0.158,19,26,0.731,11,30,5,11,2,13,12,,21,49,0.429,12,30,0.4,14,15,0.933,6,21,11,9,2,19,22,LSU
3,2023-11-16,N,Dayton,L,67,70,26,49,0.531,7,16,0.438,8,12,0.667,4,27,13,8,4,14,18,,22,56,0.393,11,34,0.324,15,22,0.682,11,30,12,9,2,10,11,LSU
4,2023-11-17,N,North Texas,W,66,62,24,48,0.5,4,13,0.308,14,18,0.778,6,31,10,8,1,13,12,,19,60,0.317,12,32,0.375,12,12,1.0,11,30,9,4,3,10,17,LSU
5,2023-11-19,N,Wake Forest,W (1 OT),86,80,29,71,0.408,7,18,0.389,21,31,0.677,16,40,7,13,7,11,22,,28,60,0.467,8,23,0.348,16,20,0.8,7,34,15,6,8,18,19,LSU
6,2023-11-24,,North Florida,W,75,63,23,50,0.46,4,14,0.286,25,32,0.781,10,42,11,10,9,15,15,,23,65,0.354,11,35,0.314,6,10,0.6,13,34,8,11,2,13,21,LSU
7,2023-11-28,@,Syracuse,L,57,80,24,61,0.393,2,22,0.091,7,10,0.7,11,33,8,9,2,18,19,,25,63,0.397,11,21,0.524,19,23,0.826,15,40,16,9,8,14,13,LSU
8,2023-12-01,,Southeastern Louisiana,W,73,66,22,45,0.489,8,23,0.348,21,29,0.724,9,35,10,7,6,17,19,,22,61,0.361,8,31,0.258,14,16,0.875,11,28,14,9,1,10,23,LSU
9,2023-12-09,,Kansas State,L,60,75,22,53,0.415,6,20,0.3,10,15,0.667,5,23,10,10,3,15,17,,26,55,0.473,8,24,0.333,15,22,0.682,12,34,15,8,5,17,15,LSU
10,2023-12-13,,Alabama State,W,74,56,25,48,0.521,9,23,0.391,15,23,0.652,6,34,11,9,3,14,16,,22,61,0.361,9,26,0.346,3,8,0.375,11,29,10,5,1,13,18,LSU
11,2023-12-16,N,Texas,L,85,96,29,63,0.46,11,25,0.44,16,23,0.696,9,27,11,7,6,13,23,,32,59,0.542,10,20,0.5,22,25,0.88,7,31,21,5,5,12,19,LSU
12,2023-12-21,,Lamar,W,87,66,31,72,0.431,9,38,0.237,16,25,0.64,14,40,18,12,3,11,17,,26,60,0.433,6,22,0.273,8,14,0.571,9,35,10,9,3,19,19,LSU
13,2023-12-29,,Northwestern State,W,96,55,36,59,0.61,11,21,0.524,13,20,0.65,5,36,22,17,4,11,11,,21,59,0.356,5,21,0.238,8,14,0.571,7,26,7,9,3,20,14,LSU
14,2024-01-06,@,Texas A&M,W,68,53,27,67,0.403,6,24,0.25,8,11,0.727,11,36,16,6,7,11,20,,15,59,0.254,5,28,0.179,18,26,0.692,9,34,7,10,2,12,14,LSU
15,2024-01-09,,Vanderbilt,W,77,69,27,64,0.422,3,16,0.188,20,23,0.87,6,35,10,11,2,8,12,,27,61,0.443,7,27,0.259,8,12,0.667,7,37,10,7,7,14,15,LSU
16,2024-01-13,@,Auburn,L,78,93,25,60,0.417,9,23,0.391,19,25,0.76,8,33,12,6,3,16,21,,28,61,0.459,10,25,0.4,27,31,0.871,7,31,20,15,7,8,18,LSU
17,2024-01-17,,Ole Miss,W,89,80,28,58,0.483,10,21,0.476,23,31,0.742,9,41,13,10,3,15,21,,24,65,0.369,6,24,0.25,26,29,0.897,8,32,7,8,5,10,19,LSU
18,2024-01-20,,Texas A&M,L,69,73,25,60,0.417,11,34,0.324,8,10,0.8,6,33,15,1,2,7,19,,26,69,0.377,10,33,0.303,11,20,0.55,18,44,11,5,3,5,10,LSU
19,2024-01-24,@,Georgia,L,66,68,22,57,0.386,10,23,0.435,12,14,0.857,11,30,11,9,2,15,19,,22,51,0.431,5,17,0.294,19,24,0.792,8,28,6,7,5,17,17,LSU
