Game Date,Location,Neutral Game,Conference Game,Postseason Game,NCAA Tourney Game,Matchup,Home Team,Home Rk,Home Score,Away Team,Away Rk,Away Score,Home W,Home Pt Diff
2021-11-12,@ Texas A&M,0,0,0,0,Abilene Christian vs. Texas A&M,Texas A&M,194.0,81,Abilene Christian,90.0,80,1,1
2021-11-16,@ UT Arlington,0,0,0,0,Abilene Christian vs. UT Arlington,UT Arlington,335.0,71,Abilene Christian,82.0,80,0,-9
2021-12-04,@ Abilene Christian,0,0,0,0,Incarnate Word vs. Abilene Christian,Abilene Christian,139.0,98,Incarnate Word,112.0,65,1,33
2021-12-11,@ Abilene Christian,0,0,0,0,Drexel vs. Abilene Christian,Abilene Christian,177.0,73,Drexel,256.0,56,1,17
2021-12-15,@ Abilene Christian,0,0,0,0,Cal State Bakersfield vs. Abilene Christian,Abilene Christian,225.0,69,Cal State Bakersfield,327.0,59,1,10
2021-12-22,@ Abilene Christian,0,0,0,0,Longwood vs. Abilene Christian,Abilene Christian,185.0,74,Longwood,107.0,58,1,16
2021-12-30,@ Utah Valley,0,1,0,0,Abilene Christian vs. Utah Valley,Utah Valley,179.0,76,Abilene Christian,95.0,80,0,-4
2022-01-06,@ Abilene Christian,0,1,0,0,Stephen F. Austin vs. Abilene Christian,Abilene Christian,93.0,58,Stephen F. Austin,144.0,64,0,-6
2022-01-08,@ Abilene Christian,0,1,0,0,Sam Houston State vs. Abilene Christian,Abilene Christian,159.0,63,Sam Houston State,313.0,65,0,-2
2022-01-13,@ Grand Canyon,0,1,0,0,Abilene Christian vs. Grand Canyon,Grand Canyon,172.0,95,Abilene Christian,200.0,68,1,27
2022-01-15,@ New Mexico State,0,1,0,0,Abilene Christian vs. New Mexico State,New Mexico State,156.0,77,Abilene Christian,122.0,63,1,14
2022-01-20,@ Abilene Christian,0,1,0,0,Seattle vs. Abilene Christian,Abilene Christian,103.0,62,Seattle,191.0,72,0,-10
2022-01-22,@ Abilene Christian,0,1,0,0,California Baptist vs. Abilene Christian,Abilene Christian,91.0,77,California Baptist,208.0,68,1,9
2022-01-26,@ Texas-Rio Grande Valley,0,1,0,0,Abilene Christian vs. Texas-Rio Grande Valley,Texas-Rio Grande Valley,357.0,85,Abilene Christian,96.0,87,0,-2
2022-01-29,@ Lamar,0,1,0,0,Abilene Christian vs. Lamar,Lamar,330.0,82,Abilene Christian,88.0,85,0,-3
2022-02-02,@ Abilene Christian,0,1,0,0,Chicago State vs. Abilene Christian,Abilene Christian,122.0,77,Chicago State,263.0,73,1,4
2022-02-05,@ Abilene Christian,0,1,0,0,Texas-Rio Grande Valley vs. Abilene Christian,Abilene Christian,140.0,83,Texas-Rio Grande Valley,357.0,66,1,17
2022-02-12,@ Tarleton State,0,1,0,0,Abilene Christian vs. Tarleton State,Tarleton State,217.0,63,Abilene Christian,130.0,77,0,-14
