G,Date,Location,Opp,Game Type,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp eFG%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
1,2020-11-25,N,East Tennessee State,REG (Non-Conf),W,70,47,20,49,0.408,13,23,0.565,7,26,0.269,0.541,17,27,0.63,6,24,30,14,8,3,15,21,15,51,0.294,3,21,0.143,12,30,0.4,0.324,14,17,0.824,11,27,38,5,6,2,22,26,Abilene Christian
2,2020-11-27,N,Austin Peay,REG (Non-Conf),W,80,72,29,53,0.547,5,9,0.556,24,44,0.545,0.594,17,29,0.586,5,20,25,12,12,1,15,18,27,59,0.458,5,17,0.294,22,42,0.524,0.5,13,16,0.813,11,21,32,12,2,1,18,23,Abilene Christian
3,2020-11-28,N,Omaha,REG (Non-Conf),W,70,58,26,58,0.448,6,12,0.5,20,46,0.435,0.5,12,20,0.6,10,22,32,15,9,0,14,14,23,52,0.442,2,14,0.143,21,38,0.553,0.462,10,13,0.769,5,25,30,11,9,2,23,21,Abilene Christian
4,2020-12-01,,,REG (Non-Conf),W,81,51,30,70,0.429,9,33,0.273,21,37,0.568,0.493,12,21,0.571,17,28,45,19,14,4,19,16,17,50,0.34,6,19,0.316,11,31,0.355,0.4,11,15,0.733,5,22,27,9,4,3,29,21,Abilene Christian
5,2020-12-05,,Tarleton State,REG (Non-Conf),W,69,48,23,56,0.411,9,27,0.333,14,29,0.483,0.491,14,22,0.636,10,19,29,15,10,2,14,21,15,35,0.429,1,8,0.125,14,27,0.519,0.443,17,29,0.586,5,25,30,5,10,4,28,25,Abilene Christian
6,2020-12-09,@,Texas Tech,REG (Non-Conf),L,44,51,16,45,0.356,6,18,0.333,10,27,0.37,0.422,6,9,0.667,3,20,23,6,8,3,20,31,12,43,0.279,2,15,0.133,10,28,0.357,0.302,25,37,0.676,11,17,28,7,9,6,16,16,Abilene Christian
7,2020-12-12,,,REG (Non-Conf),W,83,46,31,71,0.437,8,31,0.258,23,40,0.575,0.493,13,22,0.591,15,26,41,20,14,2,10,19,19,53,0.358,7,22,0.318,12,31,0.387,0.425,1,8,0.125,9,25,34,8,4,4,26,24,Abilene Christian
8,2020-12-16,,,REG (Non-Conf),W,95,73,32,68,0.471,4,17,0.235,28,51,0.549,0.5,27,43,0.628,16,21,37,16,13,4,11,18,27,57,0.474,7,16,0.438,20,41,0.488,0.535,12,15,0.8,6,25,31,13,3,3,25,29,Abilene Christian
9,2020-12-22,@,Arkansas,REG (Non-Conf),L,72,85,29,61,0.475,5,22,0.227,24,39,0.615,0.516,9,15,0.6,8,17,25,13,3,4,12,19,26,59,0.441,9,25,0.36,17,34,0.5,0.517,24,30,0.8,12,24,36,15,6,5,13,18,Abilene Christian
10,2020-12-29,,,REG (Non-Conf),W,82,44,31,61,0.508,6,29,0.207,25,32,0.781,0.557,14,23,0.609,10,31,41,18,12,5,13,16,15,49,0.306,10,22,0.455,5,27,0.185,0.408,4,9,0.444,5,18,23,8,5,0,25,22,Abilene Christian
