G,Date,Location,Opp,Game Type,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp eFG%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
11,2021-01-02,,Lamar,REG (Conf),W,83,65,30,69,0.435,9,20,0.45,21,49,0.429,0.5,14,21,0.667,15,23,38,21,11,3,13,23,21,51,0.412,4,20,0.2,17,31,0.548,0.451,19,24,0.792,7,22,29,11,3,6,18,20,Abilene Christian
12,2021-01-06,@,Houston Baptist,REG (Conf),W,66,63,27,65,0.415,3,22,0.136,24,43,0.558,0.438,9,11,0.818,13,27,40,17,6,3,13,20,20,51,0.392,6,19,0.316,14,32,0.438,0.451,17,22,0.773,3,23,26,8,6,9,15,20,Abilene Christian
13,2021-01-16,,Southeastern Louisiana,REG (Conf),W,76,42,24,54,0.444,9,24,0.375,15,30,0.5,0.528,19,27,0.704,9,22,31,21,16,5,14,26,11,36,0.306,4,15,0.267,7,21,0.333,0.361,16,28,0.571,5,23,28,6,8,5,29,28,Abilene Christian
14,2021-01-20,@,Sam Houston State,REG (Conf),L,57,64,23,61,0.377,3,19,0.158,20,42,0.476,0.402,8,15,0.533,11,18,29,21,6,3,11,20,21,53,0.396,6,17,0.353,15,36,0.417,0.453,16,26,0.615,15,29,44,12,5,3,16,17,Abilene Christian
15,2021-01-23,,Central Arkansas,REG (Conf),W,93,58,34,64,0.531,12,31,0.387,22,33,0.667,0.625,13,18,0.722,8,23,31,29,11,6,12,18,21,54,0.389,4,14,0.286,17,40,0.425,0.426,12,16,0.75,8,22,30,6,6,1,24,23,Abilene Christian
16,2021-01-27,,Stephen F. Austin,REG (Conf),W,82,62,26,63,0.413,6,24,0.25,20,39,0.513,0.46,24,29,0.828,12,24,36,12,7,5,11,19,23,54,0.426,2,8,0.25,21,46,0.457,0.444,14,25,0.56,13,28,41,10,8,5,22,25,Abilene Christian
17,2021-01-30,@,Incarnate Word,REG (Conf),W,75,67,25,52,0.481,6,23,0.261,19,29,0.655,0.538,19,25,0.76,12,26,38,17,2,1,12,17,21,53,0.396,12,29,0.414,9,24,0.375,0.509,13,17,0.765,4,16,20,15,7,0,8,20,Abilene Christian
18,2021-02-06,@,Lamar,REG (Conf),W,77,62,30,61,0.492,11,22,0.5,19,39,0.487,0.582,6,12,0.5,9,21,30,20,11,2,7,14,22,45,0.489,10,12,0.833,12,33,0.364,0.6,8,15,0.533,7,24,31,11,4,4,17,15,Abilene Christian
19,2021-02-08,@,Texas A&M–Corpus Christi,REG (Conf),W,82,69,31,60,0.517,6,15,0.4,25,45,0.556,0.567,14,21,0.667,10,20,30,20,8,3,8,16,23,49,0.469,5,13,0.385,18,36,0.5,0.52,18,20,0.9,5,22,27,11,2,1,16,18,Abilene Christian
20,2021-02-10,,Houston Baptist,REG (Conf),W,88,59,33,71,0.465,13,28,0.464,20,43,0.465,0.556,9,18,0.5,17,23,40,26,18,4,19,22,20,56,0.357,4,21,0.19,16,35,0.457,0.393,15,23,0.652,10,23,33,11,14,6,24,17,Abilene Christian
21,2021-02-13,,Texas A&M–Corpus Christi,REG (Conf),W,83,55,27,56,0.482,7,26,0.269,20,30,0.667,0.545,22,27,0.815,5,25,30,19,13,6,13,24,15,51,0.294,3,14,0.214,12,37,0.324,0.324,22,30,0.733,7,24,31,7,6,2,23,21,Abilene Christian
22,2021-02-24,,Sam Houston State,REG (Conf),W,86,72,29,57,0.509,10,19,0.526,19,38,0.5,0.596,18,22,0.818,8,20,28,21,6,3,14,12,29,60,0.483,5,20,0.25,24,40,0.6,0.525,9,11,0.818,6,19,25,14,9,4,12,20,Abilene Christian
23,2021-02-27,@,Central Arkansas,REG (Conf),L,82,84,28,62,0.452,12,23,0.522,16,39,0.41,0.548,14,22,0.636,6,25,31,23,9,1,11,25,28,55,0.509,7,19,0.368,21,36,0.583,0.573,21,33,0.636,9,28,37,16,5,4,13,19,Abilene Christian
24,2021-03-03,@,Stephen F. Austin,REG (Conf),W,63,61,22,45,0.489,4,13,0.308,18,32,0.563,0.533,15,26,0.577,7,18,25,13,4,1,22,30,18,41,0.439,2,15,0.133,16,26,0.615,0.463,23,35,0.657,3,19,22,7,15,1,15,21,Abilene Christian
25,2021-03-06,,Incarnate Word,REG (Conf),W,85,60,30,68,0.441,12,33,0.364,18,35,0.514,0.529,13,14,0.929,13,29,42,22,14,5,13,18,19,53,0.358,10,24,0.417,9,29,0.31,0.453,12,16,0.75,5,22,27,14,7,2,18,11,Abilene Christian
26,2021-03-12,N,Lamar,CTOURN,W,93,71,34,64,0.531,9,21,0.429,25,43,0.581,0.602,16,21,0.762,11,21,32,22,11,2,10,12,29,56,0.518,7,15,0.467,22,41,0.537,0.58,6,8,0.75,5,18,23,9,6,8,16,17,Abilene Christian
27,2021-03-13,N,Nicholls State,CTOURN,W,79,45,29,64,0.453,11,22,0.5,18,42,0.429,0.539,10,11,0.909,13,38,51,19,12,3,16,15,19,64,0.297,4,27,0.148,15,37,0.405,0.328,3,11,0.273,12,20,32,8,10,6,15,12,Abilene Christian
28,2021-03-20,N,Texas,ROUND-64,W,53,52,20,67,0.299,3,18,0.167,17,49,0.347,0.321,10,12,0.833,13,17,30,9,11,0,9,15,18,40,0.45,7,20,0.35,11,20,0.55,0.538,9,11,0.818,5,25,30,15,6,9,22,16,Abilene Christian
29,2021-03-22,N,UCLA,ROUND-32,L,47,67,17,57,0.298,4,19,0.211,13,38,0.342,0.333,9,11,0.818,7,23,30,13,3,2,9,15,27,58,0.466,7,19,0.368,20,39,0.513,0.526,6,13,0.462,11,30,41,15,4,4,7,15,Abilene Christian
1,2020-11-28,N,Cal State Northridge,REG (Non-Conf),W,66,61,21,48,0.438,11,25,0.44,10,23,0.435,0.552,13,19,0.684,3,25,28,14,5,2,13,17,20,55,0.364,7,29,0.241,13,26,0.5,0.427,14,18,0.778,6,25,31,7,6,0,10,16,Air Force
2,2020-11-29,N,Seattle,REG (Non-Conf),L,45,63,16,40,0.4,6,20,0.3,10,20,0.5,0.475,7,8,0.875,4,18,22,9,2,0,15,15,24,57,0.421,11,29,0.379,13,28,0.464,0.518,4,6,0.667,6,18,24,16,4,3,5,13,Air Force
3,2020-12-05,,Lamar,REG (Non-Conf),W,59,44,21,41,0.512,9,21,0.429,12,20,0.6,0.622,8,11,0.727,1,27,28,16,9,4,15,16,16,50,0.32,1,6,0.167,15,44,0.341,0.33,11,16,0.688,5,21,26,3,9,3,12,15,Air Force
4,2020-12-13,@,Drake,REG (Non-Conf),L,53,81,17,49,0.347,4,18,0.222,13,31,0.419,0.388,15,20,0.75,3,15,18,5,10,0,12,12,31,55,0.564,10,24,0.417,21,31,0.677,0.655,9,14,0.643,10,27,37,16,7,2,13,19,Air Force
5,2020-12-18,@,Nevada,REG (Conf),L,57,74,19,46,0.413,6,17,0.353,13,29,0.448,0.478,13,23,0.565,4,16,20,14,10,1,15,20,24,47,0.511,8,21,0.381,16,26,0.615,0.596,18,27,0.667,8,28,36,18,6,3,18,25,Air Force
6,2020-12-20,@,Nevada,REG (Conf),W,68,66,23,47,0.489,6,19,0.316,17,28,0.607,0.553,16,18,0.889,4,19,23,16,9,1,13,19,23,54,0.426,2,24,0.083,21,30,0.7,0.444,18,26,0.692,11,20,31,14,6,2,16,19,Air Force
7,2020-12-31,,Utah State,REG (Conf),L,48,83,17,36,0.472,5,19,0.263,12,17,0.706,0.542,9,14,0.643,5,14,19,12,3,2,24,11,34,65,0.523,12,30,0.4,22,35,0.629,0.615,3,6,0.5,15,16,31,24,11,1,8,21,Air Force
8,2021-01-02,,Utah State,REG (Conf),L,53,72,19,47,0.404,5,14,0.357,14,33,0.424,0.457,10,12,0.833,4,15,19,8,9,3,16,15,30,55,0.545,7,19,0.368,23,36,0.639,0.609,5,10,0.5,12,24,36,15,7,7,18,15,Air Force
9,2021-01-06,@,Boise State,REG (Conf),L,59,78,23,49,0.469,5,21,0.238,18,28,0.643,0.52,8,12,0.667,2,17,19,10,6,1,14,15,26,54,0.481,10,22,0.455,16,32,0.5,0.574,16,18,0.889,6,25,31,18,8,2,14,15,Air Force
10,2021-01-08,@,Boise State,REG (Conf),L,69,80,24,45,0.533,9,20,0.45,15,25,0.6,0.633,12,13,0.923,2,17,19,11,2,2,12,18,31,59,0.525,7,17,0.412,24,42,0.571,0.585,11,17,0.647,11,18,29,13,6,3,6,18,Air Force
11,2021-01-16,,Wyoming,REG (Conf),W,72,69,28,53,0.528,8,20,0.4,20,33,0.606,0.604,8,13,0.615,4,18,22,15,11,3,7,10,27,51,0.529,10,27,0.37,17,24,0.708,0.627,5,12,0.417,8,24,32,13,2,2,15,14,Air Force
12,2021-01-18,,Wyoming,REG (Conf),L,58,77,23,46,0.5,1,12,0.083,22,34,0.647,0.511,11,19,0.579,5,21,26,13,5,3,11,16,25,51,0.49,16,32,0.5,9,19,0.474,0.647,11,16,0.688,6,24,30,15,4,1,11,22,Air Force
13,2021-01-22,,San Diego State,REG (Conf),L,61,98,22,40,0.55,9,21,0.429,13,19,0.684,0.663,8,13,0.615,2,13,15,13,9,1,23,19,36,66,0.545,13,29,0.448,23,37,0.622,0.644,13,24,0.542,17,17,34,27,15,1,16,18,Air Force
14,2021-01-24,,San Diego State,REG (Conf),L,59,91,21,45,0.467,8,21,0.381,13,24,0.542,0.556,9,16,0.563,2,15,17,16,6,2,11,20,31,60,0.517,16,30,0.533,15,30,0.5,0.65,13,18,0.722,14,26,40,21,4,3,12,18,Air Force
15,2021-01-28,@,San Jose State,REG (Conf),L,58,59,22,54,0.407,8,29,0.276,14,25,0.56,0.481,6,10,0.6,7,19,26,7,9,4,11,12,24,48,0.5,6,20,0.3,18,28,0.643,0.563,5,10,0.5,7,24,31,6,7,0,14,12,Air Force
16,2021-01-30,@,San Jose State,REG (Conf),L,62,75,25,61,0.41,11,37,0.297,14,24,0.583,0.5,1,4,0.25,4,22,26,17,3,3,6,16,27,52,0.519,9,24,0.375,18,28,0.643,0.606,12,18,0.667,5,30,35,19,3,1,11,11,Air Force
17,2021-02-06,@,UNLV,REG (Conf),L,58,68,20,46,0.435,15,32,0.469,5,14,0.357,0.598,3,7,0.429,4,15,19,15,3,1,12,16,27,49,0.551,2,14,0.143,25,35,0.714,0.571,12,15,0.8,8,21,29,14,7,1,9,13,Air Force
18,2021-02-08,@,UNLV,REG (Conf),L,64,69,24,48,0.5,9,21,0.429,15,27,0.556,0.594,7,9,0.778,2,15,17,16,5,3,8,18,25,45,0.556,9,16,0.563,16,29,0.552,0.656,10,15,0.667,6,20,26,13,2,5,12,16,Air Force
19,2021-02-11,,Fresno State,REG (Conf),L,63,69,16,40,0.4,11,26,0.423,5,14,0.357,0.538,20,23,0.87,3,10,13,13,11,3,14,22,21,35,0.6,6,12,0.5,15,23,0.652,0.686,21,27,0.778,6,20,26,9,5,1,20,20,Air Force
20,2021-02-13,,Fresno State,REG (Conf),L,64,67,22,46,0.478,6,18,0.333,16,28,0.571,0.543,14,19,0.737,5,19,24,8,7,4,11,21,23,50,0.46,2,9,0.222,21,41,0.512,0.48,19,28,0.679,13,21,34,7,6,0,10,19,Air Force
21,2021-02-22,,New Mexico,REG (Conf),L,65,73,23,54,0.426,6,24,0.25,17,30,0.567,0.481,13,19,0.684,6,13,19,14,12,2,11,16,30,51,0.588,2,9,0.222,28,42,0.667,0.608,11,16,0.688,9,26,35,22,7,2,16,12,Air Force
22,2021-02-24,,New Mexico,REG (Conf),W,62,55,22,52,0.423,4,13,0.308,18,39,0.462,0.462,14,20,0.7,4,24,28,14,10,5,12,16,20,50,0.4,5,20,0.25,15,30,0.5,0.45,10,18,0.556,9,26,35,10,4,3,21,20,Air Force
23,2021-02-27,@,Colorado State,REG (Conf),L,49,72,17,41,0.415,5,21,0.238,12,20,0.6,0.476,10,16,0.625,4,11,15,11,7,3,16,21,25,41,0.61,9,22,0.409,16,19,0.842,0.72,13,16,0.813,5,21,26,14,4,1,19,18,Air Force
24,2021-03-01,@,Colorado State,REG (Conf),L,44,74,15,45,0.333,5,20,0.25,10,25,0.4,0.389,9,13,0.692,5,19,24,7,5,2,14,21,23,55,0.418,5,28,0.179,18,27,0.667,0.464,23,28,0.821,15,26,41,14,4,3,11,16,Air Force
25,2021-03-10,N,UNLV,CTOURN,L,52,80,22,51,0.431,2,18,0.111,20,33,0.606,0.451,6,10,0.6,0,13,13,14,9,7,13,13,31,54,0.574,9,17,0.529,22,37,0.595,0.657,9,11,0.818,7,30,37,20,6,3,17,13,Air Force
1,2020-12-12,,,REG (Non-Conf),W,97,49,35,66,0.53,16,40,0.4,19,26,0.731,0.652,11,15,0.733,13,30,43,23,8,0,10,8,22,57,0.386,4,19,0.211,18,38,0.474,0.421,1,4,0.25,4,16,20,7,7,0,11,14,Akron
2,2020-12-15,N,St. Bonaventure,REG (Non-Conf),L,74,81,24,60,0.4,6,32,0.188,18,28,0.643,0.45,20,21,0.952,8,25,33,10,7,1,17,24,30,65,0.462,1,14,0.071,29,51,0.569,0.469,20,28,0.714,9,20,29,15,8,2,10,17,Akron
3,2020-12-19,,,REG (Non-Conf),W,93,83,35,74,0.473,4,22,0.182,31,52,0.596,0.5,19,23,0.826,15,25,40,13,6,5,7,18,33,71,0.465,8,27,0.296,25,44,0.568,0.521,9,14,0.643,9,23,32,11,2,0,17,23,Akron
4,2020-12-22,,Ohio,REG (Conf),W,90,70,35,55,0.636,14,25,0.56,21,30,0.7,0.764,6,9,0.667,6,28,34,18,2,3,14,19,26,62,0.419,8,27,0.296,18,35,0.514,0.484,10,16,0.625,10,12,22,14,6,2,5,13,Akron
5,2021-01-01,,Kent State,REG (Conf),W,66,62,19,59,0.322,11,34,0.324,8,25,0.32,0.415,17,22,0.773,8,28,36,13,4,3,12,19,24,63,0.381,5,23,0.217,19,40,0.475,0.421,9,17,0.529,12,27,39,9,7,4,13,18,Akron
6,2021-01-09,@,Eastern Michigan,REG (Conf),L,59,71,21,50,0.42,7,28,0.25,14,22,0.636,0.49,10,13,0.769,4,26,30,13,4,1,16,22,26,55,0.473,6,23,0.261,20,32,0.625,0.527,13,21,0.619,7,21,28,10,6,5,8,15,Akron
7,2021-01-12,@,Northern Illinois,REG (Conf),L,65,67,25,60,0.417,9,29,0.31,16,31,0.516,0.492,6,13,0.462,5,20,25,16,3,0,11,15,25,54,0.463,7,14,0.5,18,40,0.45,0.528,10,14,0.714,10,31,41,18,7,3,14,17,Akron
8,2021-01-16,,Toledo,REG (Conf),W,95,94,34,67,0.507,14,40,0.35,20,27,0.741,0.612,13,15,0.867,11,24,35,12,4,4,12,24,31,70,0.443,12,28,0.429,19,42,0.452,0.529,20,27,0.741,10,19,29,17,7,2,5,15,Akron
9,2021-01-19,@,Bowling Green,REG (Conf),W,69,57,22,59,0.373,8,24,0.333,14,35,0.4,0.441,17,19,0.895,10,34,44,12,5,7,16,14,23,69,0.333,8,28,0.286,15,41,0.366,0.391,3,5,0.6,11,24,35,13,6,3,12,18,Akron
10,2021-01-21,,Central Michigan,REG (Conf),W,81,67,29,59,0.492,12,29,0.414,17,30,0.567,0.593,11,13,0.846,7,24,31,18,5,5,12,21,23,53,0.434,1,6,0.167,22,47,0.468,0.443,20,25,0.8,9,18,27,4,5,5,13,17,Akron
11,2021-01-23,@,Western Michigan,REG (Conf),W,79,68,23,49,0.469,10,30,0.333,13,19,0.684,0.571,23,31,0.742,5,23,28,10,7,0,10,15,27,56,0.482,5,16,0.313,22,40,0.55,0.527,9,12,0.75,7,13,20,10,3,0,13,23,Akron
12,2021-01-26,,Eastern Michigan,REG (Conf),W,86,65,33,69,0.478,10,29,0.345,23,40,0.575,0.551,10,13,0.769,9,37,46,22,3,1,11,19,22,60,0.367,9,30,0.3,13,30,0.433,0.442,12,17,0.706,3,25,28,8,6,1,14,17,Akron
13,2021-01-30,,Ball State,REG (Conf),W,74,42,28,57,0.491,8,25,0.32,20,32,0.625,0.561,10,19,0.526,8,29,37,10,9,2,11,13,17,50,0.34,4,22,0.182,13,28,0.464,0.38,4,7,0.571,2,24,26,8,4,3,18,17,Akron
14,2021-02-02,@,Toledo,REG (Conf),L,76,91,27,63,0.429,8,25,0.32,19,38,0.5,0.492,14,23,0.609,10,20,30,11,4,3,9,23,31,62,0.5,13,29,0.448,18,33,0.545,0.605,16,18,0.889,11,28,39,16,3,3,11,19,Akron
15,2021-02-05,@,Kent State,REG (Conf),W,72,61,27,59,0.458,11,25,0.44,16,34,0.471,0.551,7,11,0.636,10,24,34,14,4,6,15,16,23,66,0.348,6,27,0.222,17,39,0.436,0.394,9,12,0.75,13,19,32,10,6,2,17,16,Akron
16,2021-02-12,@,Miami (OH),REG (Conf),W,83,76,30,61,0.492,14,34,0.412,16,27,0.593,0.607,9,12,0.75,12,16,28,12,5,4,8,18,27,51,0.529,5,14,0.357,22,37,0.595,0.578,17,19,0.895,6,20,26,9,3,1,8,18,Akron
17,2021-02-16,,Northern Illinois,REG (Conf),W,81,76,20,52,0.385,11,28,0.393,9,24,0.375,0.49,30,35,0.857,9,24,33,12,4,7,12,12,31,73,0.425,9,22,0.409,22,51,0.431,0.486,5,7,0.714,17,20,37,14,5,1,12,27,Akron
18,2021-02-19,@,Ball State,REG (Conf),W,88,79,30,58,0.517,9,20,0.45,21,38,0.553,0.595,19,25,0.76,6,23,29,16,9,4,10,18,31,65,0.477,8,21,0.381,23,44,0.523,0.538,9,9,1.0,9,19,28,16,5,0,17,23,Akron
19,2021-02-23,@,Ohio,REG (Conf),L,73,90,26,67,0.388,8,32,0.25,18,35,0.514,0.448,13,19,0.684,12,25,37,12,3,5,11,23,30,61,0.492,10,19,0.526,20,42,0.476,0.574,20,26,0.769,7,28,35,17,5,2,8,20,Akron
20,2021-02-26,,Bowling Green,REG (Conf),L,71,83,21,61,0.344,7,27,0.259,14,34,0.412,0.402,22,31,0.71,14,24,38,7,4,8,11,19,31,67,0.463,7,23,0.304,24,44,0.545,0.515,14,19,0.737,11,23,34,13,6,0,10,24,Akron
21,2021-03-02,@,Buffalo,REG (Conf),L,78,80,29,75,0.387,7,27,0.259,22,48,0.458,0.433,13,14,0.929,11,26,37,11,10,7,10,20,28,67,0.418,5,15,0.333,23,52,0.442,0.455,19,25,0.76,15,30,45,20,10,6,16,14,Akron
22,2021-03-11,N,Bowling Green,CTOURN,W,74,67,25,58,0.431,7,21,0.333,18,37,0.486,0.491,17,24,0.708,9,28,37,7,1,3,6,15,27,68,0.397,3,23,0.13,24,45,0.533,0.419,10,14,0.714,12,23,35,6,3,2,2,20,Akron
23,2021-03-12,N,Buffalo,CTOURN,L,74,81,30,77,0.39,6,26,0.231,24,51,0.471,0.429,8,9,0.889,15,22,37,13,2,5,10,18,33,70,0.471,7,16,0.438,26,54,0.481,0.521,8,19,0.421,18,30,48,14,9,4,13,17,Akron
1,2020-11-25,,Jacksonville State,REG (Non-Conf),W,81,57,30,77,0.39,7,31,0.226,23,46,0.5,0.435,14,20,0.7,19,31,50,11,8,4,10,17,19,69,0.275,9,32,0.281,10,37,0.27,0.341,10,17,0.588,18,28,46,10,5,2,20,20,Alabama
2,2020-11-30,N,Stanford,REG (Non-Conf),L,64,82,24,67,0.358,7,29,0.241,17,38,0.447,0.41,9,15,0.6,7,23,30,10,10,5,15,20,31,60,0.517,8,15,0.533,23,45,0.511,0.583,12,19,0.632,6,34,40,15,8,5,20,18,Alabama
3,2020-12-01,N,UNLV,REG (Non-Conf),W,86,74,29,60,0.483,15,40,0.375,14,20,0.7,0.608,13,19,0.684,4,31,35,21,4,4,11,10,29,69,0.42,13,33,0.394,16,36,0.444,0.514,3,4,0.75,6,29,35,13,6,2,9,19,Alabama
4,2020-12-02,N,Providence,REG (Non-Conf),W,88,71,29,62,0.468,12,29,0.414,17,33,0.515,0.565,18,23,0.783,13,25,38,12,5,0,12,23,23,55,0.418,5,23,0.217,18,32,0.563,0.464,20,27,0.741,7,19,26,11,9,3,8,20,Alabama
5,2020-12-12,N,Clemson,REG (Non-Conf),L,56,64,17,56,0.304,3,22,0.136,14,34,0.412,0.33,19,22,0.864,4,20,24,8,17,1,15,17,27,57,0.474,5,19,0.263,22,38,0.579,0.518,5,11,0.455,9,29,38,13,8,7,20,17,Alabama
6,2020-12-15,,Furman,REG (Non-Conf),W,83,80,30,67,0.448,10,31,0.323,20,36,0.556,0.522,13,25,0.52,17,23,40,19,5,4,10,14,28,59,0.475,13,36,0.361,15,23,0.652,0.585,11,13,0.846,4,22,26,16,8,1,9,21,Alabama
7,2020-12-19,,Western Kentucky,REG (Non-Conf),L,71,73,22,56,0.393,7,26,0.269,15,30,0.5,0.455,20,26,0.769,10,19,29,7,8,3,18,16,27,60,0.45,3,11,0.273,24,49,0.49,0.475,16,21,0.762,11,20,31,10,11,3,16,23,Alabama
8,2020-12-22,,East Tennessee State,REG (Non-Conf),W,85,69,29,60,0.483,12,34,0.353,17,26,0.654,0.583,15,26,0.577,12,23,35,20,9,5,12,20,24,50,0.48,9,25,0.36,15,25,0.6,0.57,12,19,0.632,1,21,22,9,5,2,18,25,Alabama
9,2020-12-29,,Ole Miss,REG (Conf),W,82,64,28,65,0.431,12,37,0.324,16,28,0.571,0.523,14,24,0.583,13,31,44,15,6,5,15,27,22,65,0.338,1,13,0.077,21,52,0.404,0.346,19,35,0.543,17,27,44,3,7,3,16,23,Alabama
10,2021-01-02,@,Tennessee,REG (Conf),W,71,63,26,62,0.419,10,20,0.5,16,42,0.381,0.5,9,17,0.529,11,28,39,11,4,5,12,18,21,66,0.318,4,21,0.19,17,45,0.378,0.348,17,26,0.654,17,24,41,7,3,7,9,16,Alabama
11,2021-01-05,,Florida,REG (Conf),W,86,71,31,67,0.463,8,20,0.4,23,47,0.489,0.522,16,21,0.762,12,28,40,12,10,6,13,18,27,68,0.397,9,20,0.45,18,48,0.375,0.463,8,14,0.571,12,19,31,14,9,4,14,19,Alabama
12,2021-01-09,@,Auburn,REG (Conf),W,94,90,30,73,0.411,10,32,0.313,20,41,0.488,0.479,24,29,0.828,12,26,38,14,15,5,16,25,29,62,0.468,8,27,0.296,21,35,0.6,0.532,24,28,0.857,6,28,34,17,9,10,20,22,Alabama
13,2021-01-12,@,Kentucky,REG (Conf),W,85,65,31,68,0.456,14,30,0.467,17,38,0.447,0.559,9,13,0.692,10,22,32,15,9,3,10,23,21,61,0.344,4,18,0.222,17,43,0.395,0.377,19,24,0.792,15,25,40,7,5,9,18,18,Alabama
14,2021-01-16,,Arkansas,REG (Conf),W,90,59,31,64,0.484,15,36,0.417,16,28,0.571,0.602,13,17,0.765,5,30,35,18,12,4,14,16,21,63,0.333,4,17,0.235,17,46,0.37,0.365,13,18,0.722,8,23,31,8,9,5,18,15,Alabama
15,2021-01-19,@,LSU,REG (Conf),W,105,75,38,68,0.559,23,43,0.535,15,25,0.6,0.728,6,9,0.667,8,31,39,20,7,4,16,19,28,74,0.378,5,26,0.192,23,48,0.479,0.412,14,22,0.636,14,21,35,10,11,4,12,9,Alabama
16,2021-01-23,,Mississippi State,REG (Conf),W,81,73,28,61,0.459,14,34,0.412,14,27,0.519,0.574,11,13,0.846,7,22,29,21,13,6,14,12,27,61,0.443,4,14,0.286,23,47,0.489,0.475,15,17,0.882,9,20,29,7,13,5,15,12,Alabama
17,2021-01-26,,Kentucky,REG (Conf),W,70,59,20,51,0.392,6,20,0.3,14,31,0.452,0.451,24,28,0.857,6,25,31,14,6,5,14,15,19,54,0.352,6,14,0.429,13,40,0.325,0.407,15,17,0.882,7,25,32,11,9,5,16,25,Alabama
18,2021-01-30,@,Oklahoma,REG (Non-Conf),L,61,66,21,54,0.389,10,28,0.357,11,26,0.423,0.481,9,14,0.643,5,25,30,12,7,3,16,17,25,62,0.403,8,21,0.381,17,41,0.415,0.468,8,14,0.571,12,27,39,9,9,1,12,16,Alabama
19,2021-02-03,,LSU,REG (Conf),W,78,60,33,69,0.478,6,24,0.25,27,45,0.6,0.522,6,6,1.0,8,38,46,15,9,5,17,18,20,65,0.308,4,17,0.235,16,48,0.333,0.338,16,22,0.727,6,22,28,8,14,6,12,13,Alabama
