Game Date,Location,Neutral Game,Conference Game,Postseason Game,NCAA Tourney Game,Matchup,Home Team,Home Rk,Home Score,Away Team,Away Rk,Away Score,Home W,Home Pt Diff
2022-11-11,@ Texas A&M,0,0,0,0,Abilene Christian vs. Texas A&M,Texas A&M,17.0,77,Abilene Christian,202.0,58,1,19
2022-11-21,Neutral,1,0,0,0,Wright State vs. Abilene Christian,Abilene Christian,186.0,61,Wright State,233.0,77,0,-16
2022-11-22,Neutral,1,0,0,0,Weber State vs. Abilene Christian,Abilene Christian,231.0,67,Weber State,340.0,77,0,-10
2022-11-23,Neutral,1,0,0,0,Abilene Christian vs. UC Riverside,UC Riverside,153.0,76,Abilene Christian,322.0,65,1,11
2022-11-27,@ Northern Arizona,0,0,0,0,Abilene Christian vs. Northern Arizona,Northern Arizona,310.0,82,Abilene Christian,336.0,92,0,-10
2022-12-06,@ Kansas State,0,0,0,0,Abilene Christian vs. Kansas State,Kansas State,73.0,81,Abilene Christian,353.0,64,1,17
2022-12-10,@ Abilene Christian,0,0,0,0,Texas A&M-Commerce vs. Abilene Christian,Abilene Christian,341.0,83,Texas A&M-Commerce,228.0,64,1,19
2022-12-17,@ Cal State Bakersfield,0,0,0,0,Abilene Christian vs. Cal State Bakersfield,Cal State Bakersfield,303.0,59,Abilene Christian,332.0,65,0,-6
2022-12-29,@ Stephen F. Austin,0,1,0,0,Abilene Christian vs. Stephen F. Austin,Stephen F. Austin,163.0,75,Abilene Christian,330.0,68,1,7
2022-12-31,@ Abilene Christian,0,1,0,0,Tarleton State vs. Abilene Christian,Abilene Christian,305.0,69,Tarleton State,64.0,63,1,6
2023-01-07,@ Abilene Christian,0,1,0,0,Southern Utah vs. Abilene Christian,Abilene Christian,217.0,72,Southern Utah,167.0,74,0,-2
2023-01-11,@ Texas-Rio Grande Valley,0,1,0,0,Abilene Christian vs. Texas-Rio Grande Valley,Texas-Rio Grande Valley,257.0,103,Abilene Christian,222.0,86,1,17
2023-01-14,@ Tarleton State,0,1,0,0,Abilene Christian vs. Tarleton State,Tarleton State,127.0,72,Abilene Christian,261.0,63,1,9
2023-01-18,@ Utah Valley,0,1,0,0,Abilene Christian vs. Utah Valley,Utah Valley,167.0,84,Abilene Christian,211.0,54,1,30
2023-01-21,@ Abilene Christian,0,1,0,0,UT Arlington vs. Abilene Christian,Abilene Christian,223.0,84,UT Arlington,128.0,68,1,16
2023-01-26,@ Abilene Christian,0,1,0,0,Grand Canyon vs. Abilene Christian,Abilene Christian,266.0,73,Grand Canyon,112.0,75,0,-2
2023-01-28,@ Abilene Christian,0,1,0,0,Utah Tech vs. Abilene Christian,Abilene Christian,274.0,81,Utah Tech,125.0,76,1,5
