Game Date,Location,Matchup,Home Team,Home Score,Away Team,Away Score,Home W,Home Pt Diff
2024-11-09,@ Abilene Christian,Middle Tennessee vs. Abilene Christian,Abilene Christian,56,Middle Tennessee,79,0,-23
2024-11-16,@ Abilene Christian,Texas State vs. Abilene Christian,Abilene Christian,72,Texas State,60,1,12
2024-11-20,@ Kennesaw State,Abilene Christian vs. Kennesaw State,Kennesaw State,84,Abilene Christian,78,1,6
2024-11-25,Neutral,Southern Mississippi vs. Abilene Christian,Abilene Christian,82,Southern Mississippi,74,1,8
2024-11-26,@ Montana State,Abilene Christian vs. Montana State,Montana State,85,Abilene Christian,59,1,26
2024-11-30,@ Omaha,Abilene Christian vs. Omaha,Omaha,55,Abilene Christian,71,0,-16
2024-12-04,@ New Mexico State,Abilene Christian vs. New Mexico State,New Mexico State,70,Abilene Christian,78,0,-8
2024-12-09,@ Baylor,Abilene Christian vs. Baylor,Baylor,88,Abilene Christian,57,1,31
2024-12-21,@ Abilene Christian,Texas Southern vs. Abilene Christian,Abilene Christian,69,Texas Southern,65,1,4
2024-12-28,@ Texas A&M,Abilene Christian vs. Texas A&M,Texas A&M,92,Abilene Christian,54,1,38
2024-12-31,@ Abilene Christian,Stephen F. Austin vs. Abilene Christian,Abilene Christian,57,Stephen F. Austin,62,0,-5
2025-01-04,@ Utah Valley,Abilene Christian vs. Utah Valley,Utah Valley,64,Abilene Christian,53,1,11
2025-01-11,@ Seattle,Abilene Christian vs. Seattle,Seattle,66,Abilene Christian,64,1,2
2025-01-16,@ Grand Canyon,Abilene Christian vs. Grand Canyon,Grand Canyon,88,Abilene Christian,58,1,30
2025-01-18,@ Abilene Christian,California Baptist vs. Abilene Christian,Abilene Christian,54,California Baptist,60,0,-6
2025-01-23,@ Abilene Christian,Tarleton State vs. Abilene Christian,Abilene Christian,67,Tarleton State,56,1,11
2025-01-25,@ Abilene Christian,UT Arlington vs. Abilene Christian,Abilene Christian,76,UT Arlington,79,0,-3
2025-01-30,@ California Baptist,Abilene Christian vs. California Baptist,California Baptist,83,Abilene Christian,60,1,23
2025-02-06,@ Utah Tech,Abilene Christian vs. Utah Tech,Utah Tech,72,Abilene Christian,86,0,-14
2025-02-08,@ Southern Utah,Abilene Christian vs. Southern Utah,Southern Utah,70,Abilene Christian,84,0,-14
2025-02-13,@ Abilene Christian,Seattle vs. Abilene Christian,Abilene Christian,75,Seattle,59,1,16
2025-02-20,@ Abilene Christian,Southern Utah vs. Abilene Christian,Abilene Christian,75,Southern Utah,59,1,16
2025-02-22,@ Abilene Christian,Utah Tech vs. Abilene Christian,Abilene Christian,80,Utah Tech,72,1,8
2025-02-27,@ Tarleton State,Abilene Christian vs. Tarleton State,Tarleton State,67,Abilene Christian,52,1,15
2025-03-01,@ UT Arlington,Abilene Christian vs. UT Arlington,UT Arlington,59,Abilene Christian,70,0,-11
2025-03-06,@ Abilene Christian,Utah Valley vs. Abilene Christian,Abilene Christian,60,Utah Valley,73,0,-13
2025-03-08,@ Abilene Christian,Grand Canyon vs. Abilene Christian,Abilene Christian,82,Grand Canyon,81,1,1
2025-03-13,Neutral,Abilene Christian vs. Seattle,Seattle,69,Abilene Christian,63,1,6
2024-11-04,@ Air Force,North Alabama vs. Air Force,Air Force,57,North Alabama,73,0,-16
2024-11-07,@ Air Force,Jacksonville State vs. Air Force,Air Force,73,Jacksonville State,67,1,6
2024-11-15,@ Air Force,Belmont vs. Air Force,Air Force,71,Belmont,79,0,-8
2024-11-21,@ California,Air Force vs. California,California,78,Air Force,69,1,9
2024-11-24,@ Air Force,Mercyhurst vs. Air Force,Air Force,82,Mercyhurst,48,1,34
2024-11-27,@ Air Force,Sacramento State vs. Air Force,Air Force,61,Sacramento State,63,0,-2
2024-11-30,@ Wright State,Air Force vs. Wright State,Wright State,70,Air Force,57,1,13
2024-12-02,@ Miami (OH),Air Force vs. Miami (OH),Miami (OH),73,Air Force,60,1,13
2024-12-07,Neutral,Stony Brook vs. Air Force,Air Force,69,Stony Brook,61,1,8
2024-12-16,@ Northern Colorado,Air Force vs. Northern Colorado,Northern Colorado,81,Air Force,76,1,5
2024-12-21,@ Boise State,Air Force vs. Boise State,Boise State,77,Air Force,59,1,18
2025-01-04,@ Air Force,Wyoming vs. Air Force,Air Force,65,Wyoming,70,0,-5
2025-01-08,@ San Diego State,Air Force vs. San Diego State,San Diego State,67,Air Force,38,1,29
2025-01-11,@ Air Force,San Jose State vs. Air Force,Air Force,62,San Jose State,69,0,-7
2025-01-14,@ Nevada,Air Force vs. Nevada,Nevada,68,Air Force,62,1,6
2025-01-17,@ Fresno State,Air Force vs. Fresno State,Fresno State,74,Air Force,65,1,9
2025-01-22,@ Air Force,San Diego State vs. Air Force,Air Force,76,San Diego State,77,0,-1
2025-01-25,@ Air Force,Utah State vs. Air Force,Air Force,58,Utah State,87,0,-29
2025-01-28,@ Colorado State,Air Force vs. Colorado State,Colorado State,79,Air Force,58,1,21
2025-02-01,@ San Jose State,Air Force vs. San Jose State,San Jose State,75,Air Force,64,1,11
2025-02-04,@ Air Force,Nevada vs. Air Force,Air Force,60,Nevada,74,0,-14
2025-02-08,@ Air Force,New Mexico vs. Air Force,Air Force,53,New Mexico,88,0,-35
2025-02-18,@ Wyoming,Air Force vs. Wyoming,Wyoming,69,Air Force,62,1,7
2025-02-22,@ Air Force,Fresno State vs. Air Force,Air Force,72,Fresno State,69,1,3
2025-02-25,@ Air Force,Colorado State vs. Air Force,Air Force,55,Colorado State,77,0,-22
2025-03-01,@ New Mexico,Air Force vs. New Mexico,New Mexico,92,Air Force,71,1,21
2025-03-04,@ Air Force,Boise State vs. Air Force,Air Force,57,Boise State,80,0,-23
2025-03-08,@ Utah State,Air Force vs. Utah State,Utah State,87,Air Force,47,1,40
2024-11-04,@ Arkansas State,Akron vs. Arkansas State,Arkansas State,80,Akron,75,1,5
2024-11-22,@ Akron,Lamar vs. Akron,Akron,79,Lamar,72,1,7
2024-11-23,@ Akron,Omaha vs. Akron,Akron,92,Omaha,84,1,8
2024-11-24,@ Akron,Alabama State vs. Akron,Akron,97,Alabama State,78,1,19
2024-12-03,@ Akron,Northern Kentucky vs. Akron,Akron,86,Northern Kentucky,73,1,13
2024-12-15,Neutral,Akron vs. Milwaukee,Milwaukee,100,Akron,81,1,19
2024-12-20,Neutral,Akron vs. Yale,Yale,74,Akron,58,1,16
2024-12-21,Neutral,Jackson State vs. Akron,Akron,68,Jackson State,50,1,18
2024-12-30,@ Princeton,Akron vs. Princeton,Princeton,76,Akron,75,1,1
2025-01-07,@ Akron,Central Michigan vs. Akron,Akron,87,Central Michigan,71,1,16
2025-01-11,@ Eastern Michigan,Akron vs. Eastern Michigan,Eastern Michigan,81,Akron,105,0,-24
2025-01-14,@ Akron,Toledo vs. Akron,Akron,85,Toledo,78,1,7
2025-01-17,@ Akron,Ohio vs. Akron,Akron,92,Ohio,80,1,12
2025-01-21,@ Buffalo,Akron vs. Buffalo,Buffalo,58,Akron,90,0,-32
2025-01-25,@ Akron,Miami (OH) vs. Akron,Akron,102,Miami (OH),75,1,27
2025-01-28,@ Northern Illinois,Akron vs. Northern Illinois,Northern Illinois,70,Akron,80,0,-10
2025-01-31,@ Kent State,Akron vs. Kent State,Kent State,71,Akron,85,0,-14
2025-02-04,@ Akron,Ball State vs. Akron,Akron,81,Ball State,73,1,8
2025-02-08,@ Akron,South Alabama vs. Akron,Akron,80,South Alabama,67,1,13
2025-02-11,@ Akron,Western Michigan vs. Akron,Akron,105,Western Michigan,92,1,13
2025-02-15,@ Central Michigan,Akron vs. Central Michigan,Central Michigan,82,Akron,85,0,-3
2025-02-18,@ Akron,Northern Illinois vs. Akron,Akron,73,Northern Illinois,63,1,10
2025-02-22,@ Ohio,Akron vs. Ohio,Ohio,84,Akron,67,1,17
2025-02-25,@ Ball State,Akron vs. Ball State,Ball State,82,Akron,87,0,-5
2025-02-28,@ Akron,Kent State vs. Akron,Akron,77,Kent State,72,1,5
2025-03-04,@ Toledo,Akron vs. Toledo,Toledo,87,Akron,96,0,-9
2025-03-07,@ Akron,Buffalo vs. Akron,Akron,88,Buffalo,70,1,18
2025-03-14,Neutral,Toledo vs. Akron,Akron,100,Toledo,90,1,10
2025-03-15,Neutral,Miami (OH) vs. Akron,Akron,76,Miami (OH),74,1,2
2024-11-04,@ Alabama,UNC Asheville vs. Alabama,Alabama,110,UNC Asheville,54,1,56
2024-11-08,@ Alabama,Arkansas State vs. Alabama,Alabama,88,Arkansas State,79,1,9
2024-11-11,@ Alabama,McNeese State vs. Alabama,Alabama,72,McNeese State,64,1,8
2024-11-15,@ Purdue,Alabama vs. Purdue,Purdue,87,Alabama,78,1,9
2024-11-20,Neutral,Illinois vs. Alabama,Alabama,100,Illinois,87,1,13
2024-11-26,Neutral,Houston vs. Alabama,Alabama,85,Houston,80,1,5
2024-11-27,Neutral,Rutgers vs. Alabama,Alabama,95,Rutgers,90,1,5
2024-11-30,Neutral,Alabama vs. Oregon,Oregon,83,Alabama,81,1,2
2024-12-14,@ Alabama,Creighton vs. Alabama,Alabama,83,Creighton,75,1,8
2024-12-18,@ North Dakota,Alabama vs. North Dakota,North Dakota,90,Alabama,97,0,-7
2024-12-22,@ Alabama,Kent State vs. Alabama,Alabama,81,Kent State,54,1,27
2024-12-29,@ Alabama,South Dakota State vs. Alabama,Alabama,105,South Dakota State,82,1,23
2025-01-04,@ Alabama,Oklahoma vs. Alabama,Alabama,107,Oklahoma,79,1,28
2025-01-08,@ South Carolina,Alabama vs. South Carolina,South Carolina,68,Alabama,88,0,-20
2025-01-11,@ Texas A&M,Alabama vs. Texas A&M,Texas A&M,88,Alabama,94,0,-6
2025-01-14,@ Alabama,Ole Miss vs. Alabama,Alabama,64,Ole Miss,74,0,-10
2025-01-18,@ Kentucky,Alabama vs. Kentucky,Kentucky,97,Alabama,102,0,-5
2025-01-21,@ Alabama,Vanderbilt vs. Alabama,Alabama,103,Vanderbilt,87,1,16
2025-01-25,@ Alabama,LSU vs. Alabama,Alabama,80,LSU,73,1,7
2025-01-29,@ Mississippi State,Alabama vs. Mississippi State,Mississippi State,84,Alabama,88,0,-4
2025-02-01,@ Alabama,Georgia vs. Alabama,Alabama,90,Georgia,69,1,21
2025-02-08,@ Arkansas,Alabama vs. Arkansas,Arkansas,81,Alabama,85,0,-4
2025-02-11,@ Texas,Alabama vs. Texas,Texas,80,Alabama,103,0,-23
2025-02-15,@ Alabama,Auburn vs. Alabama,Alabama,85,Auburn,94,0,-9
2025-02-19,@ Missouri,Alabama vs. Missouri,Missouri,110,Alabama,98,1,12
2025-02-22,@ Alabama,Kentucky vs. Alabama,Alabama,96,Kentucky,83,1,13
2025-02-25,@ Alabama,Mississippi State vs. Alabama,Alabama,111,Mississippi State,73,1,38
2025-03-01,@ Tennessee,Alabama vs. Tennessee,Tennessee,79,Alabama,76,1,3
2025-03-05,@ Alabama,Florida vs. Alabama,Alabama,94,Florida,99,0,-5
2025-03-08,@ Auburn,Alabama vs. Auburn,Auburn,91,Alabama,93,0,-2
2025-03-14,Neutral,Kentucky vs. Alabama,Alabama,99,Kentucky,70,1,29
2025-03-15,Neutral,Alabama vs. Florida,Florida,104,Alabama,82,1,22
2024-11-16,@ Tennessee State,Alabama A&M vs. Tennessee State,Tennessee State,81,Alabama A&M,71,1,10
2024-11-19,@ Georgia,Alabama A&M vs. Georgia,Georgia,93,Alabama A&M,45,1,48
2024-11-22,@ Alabama A&M,South Carolina State vs. Alabama A&M,Alabama A&M,70,South Carolina State,82,0,-12
2024-11-23,@ Alabama A&M,Coastal Carolina vs. Alabama A&M,Alabama A&M,77,Coastal Carolina,70,1,7
2024-11-25,@ Alabama A&M,IU Indy vs. Alabama A&M,Alabama A&M,83,IU Indy,88,0,-5
2024-11-30,@ Alabama A&M,Lipscomb vs. Alabama A&M,Alabama A&M,44,Lipscomb,82,0,-38
2024-12-15,@ Chattanooga,Alabama A&M vs. Chattanooga,Chattanooga,85,Alabama A&M,63,1,22
2024-12-18,@ UAB,Alabama A&M vs. UAB,UAB,96,Alabama A&M,67,1,29
2024-12-21,@ Alabama A&M,Samford vs. Alabama A&M,Alabama A&M,90,Samford,97,0,-7
2024-12-28,@ Georgia Tech,Alabama A&M vs. Georgia Tech,Georgia Tech,92,Alabama A&M,49,1,43
2025-01-06,@ Alabama A&M,Mississippi Valley State vs. Alabama A&M,Alabama A&M,79,Mississippi Valley State,67,1,12
2025-01-11,@ Alcorn State,Alabama A&M vs. Alcorn State,Alcorn State,62,Alabama A&M,52,1,10
2025-01-13,@ Jackson State,Alabama A&M vs. Jackson State,Jackson State,103,Alabama A&M,93,1,10
2025-01-18,@ Alabama A&M,Alabama State vs. Alabama A&M,Alabama A&M,65,Alabama State,69,0,-4
2025-01-25,@ Alabama A&M,Texas Southern vs. Alabama A&M,Alabama A&M,78,Texas Southern,82,0,-4
2025-02-01,@ Florida A&M,Alabama A&M vs. Florida A&M,Florida A&M,95,Alabama A&M,79,1,16
2025-02-03,@ Bethune-Cookman,Alabama A&M vs. Bethune-Cookman,Bethune-Cookman,89,Alabama A&M,75,1,14
2025-02-08,@ Alabama A&M,Southern vs. Alabama A&M,Alabama A&M,68,Southern,81,0,-13
2025-02-15,@ Mississippi Valley State,Alabama A&M vs. Mississippi Valley State,Mississippi Valley State,70,Alabama A&M,82,0,-12
2025-02-22,@ Alabama A&M,Bethune-Cookman vs. Alabama A&M,Alabama A&M,64,Bethune-Cookman,68,0,-4
2025-02-24,@ Alabama A&M,Florida A&M vs. Alabama A&M,Alabama A&M,77,Florida A&M,66,1,11
2025-03-01,@ Alabama State,Alabama A&M vs. Alabama State,Alabama State,94,Alabama A&M,52,1,42
2025-03-08,@ Southern,Alabama A&M vs. Southern,Southern,71,Alabama A&M,57,1,14
2024-11-10,@ LSU,Alabama State vs. LSU,LSU,74,Alabama State,61,1,13
2024-11-22,Neutral,Omaha vs. Alabama State,Alabama State,85,Omaha,67,1,18
2024-11-23,Neutral,Lamar vs. Alabama State,Alabama State,77,Lamar,75,1,2
2024-11-27,@ Cincinnati,Alabama State vs. Cincinnati,Cincinnati,77,Alabama State,59,1,18
2024-12-05,@ Southern Mississippi,Alabama State vs. Southern Mississippi,Southern Mississippi,81,Alabama State,64,1,17
2024-12-19,Neutral,Alabama State vs. Norfolk State,Norfolk State,71,Alabama State,54,1,17
2024-12-20,Neutral,Alabama State vs. Delaware State,Delaware State,83,Alabama State,80,1,3
2024-12-30,@ Missouri,Alabama State vs. Missouri,Missouri,82,Alabama State,65,1,17
2025-01-04,@ Alabama State,Mississippi Valley State vs. Alabama State,Alabama State,84,Mississippi Valley State,55,1,29
2025-01-11,@ Jackson State,Alabama State vs. Jackson State,Jackson State,77,Alabama State,70,1,7
2025-01-13,@ Alcorn State,Alabama State vs. Alcorn State,Alcorn State,67,Alabama State,65,1,2
2025-01-27,@ Alabama State,Texas Southern vs. Alabama State,Alabama State,69,Texas Southern,80,0,-11
2025-02-01,@ Bethune-Cookman,Alabama State vs. Bethune-Cookman,Bethune-Cookman,67,Alabama State,64,1,3
2025-02-03,@ Florida A&M,Alabama State vs. Florida A&M,Florida A&M,66,Alabama State,67,0,-1
2025-02-10,@ Alabama State,Southern vs. Alabama State,Alabama State,82,Southern,81,1,1
2025-02-17,@ Mississippi Valley State,Alabama State vs. Mississippi Valley State,Mississippi Valley State,56,Alabama State,79,0,-23
2025-02-22,@ Alabama State,Florida A&M vs. Alabama State,Alabama State,60,Florida A&M,59,1,1
2025-02-24,@ Alabama State,Bethune-Cookman vs. Alabama State,Alabama State,68,Bethune-Cookman,70,0,-2
2025-03-06,@ Southern,Alabama State vs. Southern,Southern,65,Alabama State,66,0,-1
2025-03-13,Neutral,Texas Southern vs. Alabama State,Alabama State,84,Texas Southern,79,1,5
2025-03-15,Neutral,Jackson State vs. Alabama State,Alabama State,60,Jackson State,56,1,4
2024-11-04,@ Army,Albany (NY) vs. Army,Army,67,Albany (NY),59,1,8
2024-11-13,@ Dartmouth,Albany (NY) vs. Dartmouth,Dartmouth,73,Albany (NY),87,0,-14
2024-11-16,@ Albany (NY),Siena vs. Albany (NY),Albany (NY),70,Siena,60,1,10
2024-11-23,Neutral,Kansas City vs. Albany (NY),Albany (NY),67,Kansas City,65,1,2
2024-11-24,Neutral,Albany (NY) vs. American,American,81,Albany (NY),77,1,4
2024-11-30,@ Georgetown,Albany (NY) vs. Georgetown,Georgetown,100,Albany (NY),68,1,32
2024-12-04,@ Albany (NY),Columbia vs. Albany (NY),Albany (NY),88,Columbia,73,1,15
2024-12-07,@ Boston University,Albany (NY) vs. Boston University,Boston University,80,Albany (NY),74,1,6
2024-12-10,@ Syracuse,Albany (NY) vs. Syracuse,Syracuse,102,Albany (NY),85,1,17
2024-12-14,@ Albany (NY),Drexel vs. Albany (NY),Albany (NY),70,Drexel,77,0,-7
2024-12-18,@ Sacred Heart,Albany (NY) vs. Sacred Heart,Sacred Heart,66,Albany (NY),74,0,-8
2024-12-21,@ Fordham,Albany (NY) vs. Fordham,Fordham,87,Albany (NY),83,1,4
2024-12-29,@ Albany (NY),Stony Brook vs. Albany (NY),Albany (NY),77,Stony Brook,70,1,7
2025-01-09,@ New Hampshire,Albany (NY) vs. New Hampshire,New Hampshire,57,Albany (NY),61,0,-4
2025-01-11,@ Maine,Albany (NY) vs. Maine,Maine,87,Albany (NY),66,1,21
2025-01-16,@ Albany (NY),Bryant vs. Albany (NY),Albany (NY),79,Bryant,89,0,-10
2025-01-18,@ Binghamton,Albany (NY) vs. Binghamton,Binghamton,65,Albany (NY),70,0,-5
2025-01-25,@ Albany (NY),NJIT vs. Albany (NY),Albany (NY),68,NJIT,62,1,6
2025-02-01,@ Albany (NY),Binghamton vs. Albany (NY),Albany (NY),61,Binghamton,65,0,-4
2025-02-06,@ Bryant,Albany (NY) vs. Bryant,Bryant,63,Albany (NY),68,0,-5
2025-02-08,@ Albany (NY),Vermont vs. Albany (NY),Albany (NY),62,Vermont,68,0,-6
2025-02-20,@ Albany (NY),Maine vs. Albany (NY),Albany (NY),79,Maine,68,1,11
2025-02-22,@ Albany (NY),New Hampshire vs. Albany (NY),Albany (NY),60,New Hampshire,71,0,-11
2025-03-01,@ NJIT,Albany (NY) vs. NJIT,NJIT,59,Albany (NY),86,0,-27
2025-03-04,@ Vermont,Albany (NY) vs. Vermont,Vermont,79,Albany (NY),71,1,8
2025-03-08,@ Albany (NY),Binghamton vs. Albany (NY),Albany (NY),69,Binghamton,66,1,3
2025-03-11,@ Bryant,Albany (NY) vs. Bryant,Bryant,91,Albany (NY),78,1,13
2024-11-04,@ Utah,Alcorn State vs. Utah,Utah,100,Alcorn State,59,1,41
2024-11-06,@ Utah State,Alcorn State vs. Utah State,Utah State,101,Alcorn State,46,1,55
2024-11-11,@ Tulane,Alcorn State vs. Tulane,Tulane,84,Alcorn State,51,1,33
2024-11-19,@ TCU,Alcorn State vs. TCU,TCU,71,Alcorn State,48,1,23
2024-11-22,@ Washington,Alcorn State vs. Washington,Washington,77,Alcorn State,60,1,17
2024-11-24,@ UC Riverside,Alcorn State vs. UC Riverside,UC Riverside,69,Alcorn State,52,1,17
2024-11-29,@ South Alabama,Alcorn State vs. South Alabama,South Alabama,74,Alcorn State,65,1,9
2024-12-01,@ Maryland,Alcorn State vs. Maryland,Maryland,96,Alcorn State,58,1,38
2024-12-04,@ Wichita State,Alcorn State vs. Wichita State,Wichita State,78,Alcorn State,54,1,24
2024-12-07,@ Oklahoma,Alcorn State vs. Oklahoma,Oklahoma,94,Alcorn State,78,1,16
2024-12-16,@ Rice,Alcorn State vs. Rice,Rice,77,Alcorn State,75,1,2
2024-12-22,@ UAB,Alcorn State vs. UAB,UAB,91,Alcorn State,74,1,17
2025-01-04,@ Alcorn State,Jackson State vs. Alcorn State,Alcorn State,69,Jackson State,72,0,-3
2025-01-18,@ Texas Southern,Alcorn State vs. Texas Southern,Texas Southern,66,Alcorn State,57,1,9
2025-01-25,@ Alcorn State,Florida A&M vs. Alcorn State,Alcorn State,64,Florida A&M,65,0,-1
2025-01-27,@ Alcorn State,Bethune-Cookman vs. Alcorn State,Alcorn State,70,Bethune-Cookman,61,1,9
2025-02-01,@ Southern,Alcorn State vs. Southern,Southern,74,Alcorn State,69,1,5
2025-02-10,@ Alcorn State,Mississippi Valley State vs. Alcorn State,Alcorn State,86,Mississippi Valley State,39,1,47
2025-02-15,@ Bethune-Cookman,Alcorn State vs. Bethune-Cookman,Bethune-Cookman,74,Alcorn State,78,0,-4
2025-02-17,@ Florida A&M,Alcorn State vs. Florida A&M,Florida A&M,85,Alcorn State,76,1,9
2025-02-22,@ Jackson State,Alcorn State vs. Jackson State,Jackson State,71,Alcorn State,63,1,8
2025-03-03,@ Alcorn State,Texas Southern vs. Alcorn State,Alcorn State,59,Texas Southern,75,0,-16
2025-03-06,@ Mississippi Valley State,Alcorn State vs. Mississippi Valley State,Mississippi Valley State,64,Alcorn State,72,0,-8
2025-03-13,Neutral,Alcorn State vs. Bethune-Cookman,Bethune-Cookman,69,Alcorn State,60,1,9
2024-11-04,@ La Salle,American vs. La Salle,La Salle,65,American,52,1,13
2024-11-10,@ American,Harvard vs. American,American,67,Harvard,55,1,12
2024-11-12,@ Siena,American vs. Siena,Siena,74,American,66,1,8
2024-11-18,@ High Point,American vs. High Point,High Point,80,American,73,1,7
2024-11-22,Neutral,Kansas City vs. American,American,64,Kansas City,60,1,4
2024-12-04,@ American,George Washington vs. American,American,81,George Washington,71,1,10
2024-12-18,@ Saint Joseph's,American vs. Saint Joseph's,Saint Joseph's,84,American,57,1,27
2024-12-22,@ Virginia,American vs. Virginia,Virginia,63,American,58,1,5
2025-01-02,@ Navy,American vs. Navy,Navy,81,American,58,1,23
2025-01-05,@ American,Holy Cross vs. American,American,75,Holy Cross,64,1,11
2025-01-08,@ Boston University,American vs. Boston University,Boston University,60,American,54,1,6
2025-01-11,@ American,Bucknell vs. American,American,68,Bucknell,58,1,10
2025-01-13,@ Loyola (MD),American vs. Loyola (MD),Loyola (MD),54,American,73,0,-19
2025-01-18,@ Holy Cross,American vs. Holy Cross,Holy Cross,65,American,74,0,-9
2025-01-22,@ American,Lehigh vs. American,American,68,Lehigh,67,1,1
2025-01-25,@ American,Colgate vs. American,American,81,Colgate,77,1,4
2025-01-29,@ Lafayette,American vs. Lafayette,Lafayette,68,American,75,0,-7
2025-02-01,@ American,Army vs. American,American,71,Army,68,1,3
2025-02-05,@ Bucknell,American vs. Bucknell,Bucknell,71,American,49,1,22
2025-02-08,@ Lehigh,American vs. Lehigh,Lehigh,75,American,78,0,-3
2025-02-10,@ American,Lafayette vs. American,American,60,Lafayette,58,1,2
2025-02-15,@ American,Loyola (MD) vs. American,American,72,Loyola (MD),51,1,21
2025-02-19,@ Army,American vs. Army,Army,76,American,69,1,7
2025-02-22,@ American,Boston University vs. American,American,48,Boston University,44,1,4
2025-02-26,@ American,Navy vs. American,American,60,Navy,68,0,-8
2025-03-01,@ Colgate,American vs. Colgate,Colgate,59,American,67,0,-8
2025-03-06,@ American,Lafayette vs. American,American,71,Lafayette,69,1,2
2025-03-09,@ American,Colgate vs. American,American,72,Colgate,62,1,10
2025-03-12,@ American,Navy vs. American,American,74,Navy,52,1,22
2024-11-04,@ Appalachian State,Miami (OH) vs. Appalachian State,Appalachian State,63,Miami (OH),77,0,-14
2024-11-10,@ Wisconsin,Appalachian State vs. Wisconsin,Wisconsin,87,Appalachian State,56,1,31
2024-11-19,@ Appalachian State,Queens (NC) vs. Appalachian State,Appalachian State,65,Queens (NC),53,1,12
2024-11-24,@ Appalachian State,William & Mary vs. Appalachian State,Appalachian State,79,William & Mary,76,1,3
2024-11-29,Neutral,Colgate vs. Appalachian State,Appalachian State,72,Colgate,50,1,22
2024-11-30,@ UNC Wilmington,Appalachian State vs. UNC Wilmington,UNC Wilmington,76,Appalachian State,61,1,15
2024-12-14,Neutral,Appalachian State vs. High Point,High Point,65,Appalachian State,59,1,6
2024-12-18,@ Louisiana,Appalachian State vs. Louisiana,Louisiana,68,Appalachian State,62,1,6
2024-12-20,@ North Texas,Appalachian State vs. North Texas,North Texas,68,Appalachian State,64,1,4
2025-01-02,@ Appalachian State,Troy vs. Appalachian State,Appalachian State,61,Troy,69,0,-8
2025-01-04,@ Appalachian State,Texas State vs. Appalachian State,Appalachian State,72,Texas State,61,1,11
2025-01-08,@ Appalachian State,Coastal Carolina vs. Appalachian State,Appalachian State,74,Coastal Carolina,51,1,23
2025-01-11,@ Appalachian State,James Madison vs. Appalachian State,Appalachian State,86,James Madison,66,1,20
2025-01-16,@ Old Dominion,Appalachian State vs. Old Dominion,Old Dominion,43,Appalachian State,62,0,-19
2025-01-18,@ James Madison,Appalachian State vs. James Madison,James Madison,50,Appalachian State,58,0,-8
2025-01-23,@ Arkansas State,Appalachian State vs. Arkansas State,Arkansas State,65,Appalachian State,55,1,10
2025-01-29,@ Appalachian State,Old Dominion vs. Appalachian State,Appalachian State,77,Old Dominion,78,0,-1
2025-02-01,@ Appalachian State,Georgia State vs. Appalachian State,Appalachian State,80,Georgia State,76,1,4
2025-02-05,@ Appalachian State,Southern Mississippi vs. Appalachian State,Appalachian State,60,Southern Mississippi,58,1,2
2025-02-08,@ Ohio,Appalachian State vs. Ohio,Ohio,59,Appalachian State,72,0,-13
2025-02-13,@ Coastal Carolina,Appalachian State vs. Coastal Carolina,Coastal Carolina,46,Appalachian State,64,0,-18
2025-02-15,@ Georgia State,Appalachian State vs. Georgia State,Georgia State,70,Appalachian State,65,1,5
2025-02-20,@ Appalachian State,Georgia Southern vs. Appalachian State,Appalachian State,79,Georgia Southern,74,1,5
2025-02-22,@ Appalachian State,Marshall vs. Appalachian State,Appalachian State,59,Marshall,69,0,-10
2025-02-25,@ Georgia Southern,Appalachian State vs. Georgia Southern,Georgia Southern,61,Appalachian State,59,1,2
2025-02-28,@ Marshall,Appalachian State vs. Marshall,Marshall,75,Appalachian State,57,1,18
2025-03-07,Neutral,Appalachian State vs. Old Dominion,Old Dominion,61,Appalachian State,56,1,5
2024-11-04,@ Arizona,Canisius vs. Arizona,Arizona,93,Canisius,64,1,29
2024-11-09,@ Arizona,Old Dominion vs. Arizona,Arizona,102,Old Dominion,44,1,58
2024-11-15,@ Wisconsin,Arizona vs. Wisconsin,Wisconsin,103,Arizona,88,1,15
2024-11-22,@ Arizona,Duke vs. Arizona,Arizona,55,Duke,69,0,-14
2024-11-27,Neutral,Davidson vs. Arizona,Arizona,104,Davidson,71,1,33
2024-11-28,Neutral,Arizona vs. Oklahoma,Oklahoma,82,Arizona,77,1,5
2024-11-29,Neutral,Arizona vs. West Virginia,West Virginia,83,Arizona,76,1,7
2024-12-07,@ Arizona,Southern Utah vs. Arizona,Arizona,102,Southern Utah,66,1,36
2024-12-14,Neutral,Arizona vs. UCLA,UCLA,57,Arizona,54,1,3
2024-12-18,@ Arizona,Samford vs. Arizona,Arizona,96,Samford,64,1,32
2024-12-21,@ Arizona,Central Michigan vs. Arizona,Arizona,94,Central Michigan,41,1,53
2024-12-30,@ Arizona,TCU vs. Arizona,Arizona,90,TCU,81,1,9
2025-01-04,@ Cincinnati,Arizona vs. Cincinnati,Cincinnati,67,Arizona,72,0,-5
2025-01-07,@ West Virginia,Arizona vs. West Virginia,West Virginia,56,Arizona,75,0,-19
2025-01-11,@ Arizona,UCF vs. Arizona,Arizona,88,UCF,80,1,8
2025-01-14,@ Arizona,Baylor vs. Arizona,Arizona,81,Baylor,70,1,11
2025-01-18,@ Texas Tech,Arizona vs. Texas Tech,Texas Tech,70,Arizona,54,1,16
2025-01-21,@ Oklahoma State,Arizona vs. Oklahoma State,Oklahoma State,78,Arizona,92,0,-14
