Game Date,Location,Matchup,Home Team,Home Score,Away Team,Away Score,Home W,Home Pt Diff
2025-01-02,@ Northern Colorado,Weber State vs. Northern Colorado,Northern Colorado,89,Weber State,72,1,17
2025-01-16,@ Northern Colorado,Portland State vs. Northern Colorado,Northern Colorado,72,Portland State,69,1,3
2025-01-18,@ Northern Colorado,Sacramento State vs. Northern Colorado,Northern Colorado,68,Sacramento State,64,1,4
2025-02-13,@ Sacramento State,Northern Colorado vs. Sacramento State,Sacramento State,61,Northern Colorado,77,0,-16
2025-02-15,@ Portland State,Northern Colorado vs. Portland State,Portland State,82,Northern Colorado,71,1,11
2025-03-03,@ Weber State,Northern Colorado vs. Weber State,Weber State,63,Northern Colorado,68,0,-5
2025-03-09,Neutral,Weber State vs. Northern Colorado,Northern Colorado,76,Weber State,52,1,24
2024-11-27,@ Valparaiso,Northern Illinois vs. Valparaiso,Valparaiso,87,Northern Illinois,82,1,5
2024-12-07,@ Northern Iowa,Northern Illinois vs. Northern Iowa,Northern Iowa,101,Northern Illinois,57,1,44
2025-01-11,@ Ohio,Northern Illinois vs. Ohio,Ohio,108,Northern Illinois,70,1,38
2025-01-21,@ Western Michigan,Northern Illinois vs. Western Michigan,Western Michigan,72,Northern Illinois,70,1,2
2025-02-01,@ Toledo,Northern Illinois vs. Toledo,Toledo,89,Northern Illinois,85,1,4
2025-03-01,@ Northern Illinois,Western Michigan vs. Northern Illinois,Northern Illinois,70,Western Michigan,74,0,-4
2024-11-10,@ Northern Iowa,UC Irvine vs. Northern Iowa,Northern Iowa,60,UC Irvine,80,0,-20
2024-11-14,@ Wichita State,Northern Iowa vs. Wichita State,Wichita State,79,Northern Iowa,73,1,6
2024-11-19,@ Northern Iowa,Western Illinois vs. Northern Iowa,Northern Iowa,82,Western Illinois,56,1,26
2024-11-29,Neutral,Northern Iowa vs. St. Bonaventure,St. Bonaventure,68,Northern Iowa,56,1,12
2024-12-13,@ Northern Iowa,Omaha vs. Northern Iowa,Northern Iowa,78,Omaha,58,1,20
2024-12-21,Neutral,Northern Iowa vs. Washington State,Washington State,76,Northern Iowa,68,1,8
2024-12-29,@ Northern Iowa,Southern Illinois vs. Northern Iowa,Northern Iowa,78,Southern Illinois,67,1,11
2025-01-04,@ Valparaiso,Northern Iowa vs. Valparaiso,Valparaiso,80,Northern Iowa,73,1,7
2025-01-18,@ Southern Illinois,Northern Iowa vs. Southern Illinois,Southern Illinois,73,Northern Iowa,49,1,24
2025-03-07,Neutral,Northern Iowa vs. Valparaiso,Valparaiso,64,Northern Iowa,63,1,1
2024-11-08,@ Purdue,Northern Kentucky vs. Purdue,Purdue,72,Northern Kentucky,50,1,22
2024-12-07,@ IU Indy,Northern Kentucky vs. IU Indy,IU Indy,64,Northern Kentucky,66,0,-2
2024-12-21,@ Northern Kentucky,South Carolina State vs. Northern Kentucky,Northern Kentucky,58,South Carolina State,47,1,11
2024-12-29,@ Robert Morris,Northern Kentucky vs. Robert Morris,Robert Morris,97,Northern Kentucky,93,1,4
2025-01-01,@ Northern Kentucky,Purdue Fort Wayne vs. Northern Kentucky,Northern Kentucky,69,Purdue Fort Wayne,68,1,1
2025-01-08,@ Youngstown State,Northern Kentucky vs. Youngstown State,Youngstown State,72,Northern Kentucky,61,1,11
2025-01-11,@ Northern Kentucky,Oakland vs. Northern Kentucky,Northern Kentucky,53,Oakland,68,0,-15
2025-01-18,@ Northern Kentucky,Wright State vs. Northern Kentucky,Northern Kentucky,70,Wright State,78,0,-8
2025-02-01,@ Oakland,Northern Kentucky vs. Oakland,Oakland,75,Northern Kentucky,84,0,-9
2025-02-08,@ Northern Kentucky,Robert Morris vs. Northern Kentucky,Northern Kentucky,76,Robert Morris,81,0,-5
2025-02-21,@ Wright State,Northern Kentucky vs. Wright State,Wright State,76,Northern Kentucky,80,0,-4
2025-02-23,@ Northern Kentucky,IU Indy vs. Northern Kentucky,Northern Kentucky,71,IU Indy,67,1,4
2025-02-27,@ Purdue Fort Wayne,Northern Kentucky vs. Purdue Fort Wayne,Purdue Fort Wayne,74,Northern Kentucky,79,0,-5
2025-03-01,@ Northern Kentucky,Youngstown State vs. Northern Kentucky,Northern Kentucky,88,Youngstown State,79,1,9
2024-11-22,@ Northwestern,Pepperdine vs. Northwestern,Northwestern,68,Pepperdine,50,1,18
2025-01-02,@ Penn State,Northwestern vs. Penn State,Penn State,84,Northwestern,80,1,4
2025-01-05,@ Purdue,Northwestern vs. Purdue,Purdue,79,Northwestern,61,1,18
2025-01-29,@ Northwestern,Rutgers vs. Northwestern,Northwestern,72,Rutgers,79,0,-7
2025-02-01,@ Northwestern,Wisconsin vs. Northwestern,Northwestern,69,Wisconsin,75,0,-6
2025-02-04,@ Northwestern,Southern California vs. Northwestern,Northwestern,77,Southern California,75,1,2
2025-02-08,@ Washington,Northwestern vs. Washington,Washington,76,Northwestern,71,1,5
2025-02-11,@ Oregon,Northwestern vs. Oregon,Oregon,81,Northwestern,75,1,6
2025-02-20,@ Ohio State,Northwestern vs. Ohio State,Ohio State,49,Northwestern,70,0,-21
2025-03-03,@ Northwestern,UCLA vs. Northwestern,Northwestern,69,UCLA,73,0,-4
2025-03-13,Neutral,Northwestern vs. Wisconsin,Wisconsin,70,Northwestern,63,1,7
2024-11-08,@ Texas Tech,Northwestern State vs. Texas Tech,Texas Tech,86,Northwestern State,65,1,21
2024-11-11,@ Oklahoma,Northwestern State vs. Oklahoma,Oklahoma,73,Northwestern State,57,1,16
2024-11-16,@ Rice,Northwestern State vs. Rice,Rice,77,Northwestern State,75,1,2
2024-12-29,@ Texas,Northwestern State vs. Texas,Texas,77,Northwestern State,53,1,24
2025-01-18,@ Northwestern State,Southeastern Louisiana vs. Northwestern State,Northwestern State,64,Southeastern Louisiana,65,0,-1
2025-01-25,@ Stephen F. Austin,Northwestern State vs. Stephen F. Austin,Stephen F. Austin,54,Northwestern State,57,0,-3
2025-02-15,@ Northwestern State,Stephen F. Austin vs. Northwestern State,Northwestern State,68,Stephen F. Austin,70,0,-2
2025-02-24,@ Southeastern Louisiana,Northwestern State vs. Southeastern Louisiana,Southeastern Louisiana,69,Northwestern State,72,0,-3
2024-11-06,@ Notre Dame,Stonehill vs. Notre Dame,Notre Dame,89,Stonehill,60,1,29
2024-11-26,Neutral,Notre Dame vs. Rutgers,Rutgers,85,Notre Dame,84,1,1
2024-12-07,@ Notre Dame,Syracuse vs. Notre Dame,Notre Dame,69,Syracuse,64,1,5
2025-01-18,@ Syracuse,Notre Dame vs. Syracuse,Syracuse,77,Notre Dame,69,1,8
2025-01-25,@ Virginia,Notre Dame vs. Virginia,Virginia,59,Notre Dame,74,0,-15
2025-02-08,@ Notre Dame,Virginia Tech vs. Notre Dame,Notre Dame,63,Virginia Tech,65,0,-2
2025-02-22,@ Notre Dame,Pittsburgh vs. Notre Dame,Notre Dame,76,Pittsburgh,72,1,4
2025-03-01,@ Wake Forest,Notre Dame vs. Wake Forest,Wake Forest,74,Notre Dame,71,1,3
2025-03-05,@ Notre Dame,Stanford vs. Notre Dame,Notre Dame,56,Stanford,54,1,2
2025-03-11,Neutral,Pittsburgh vs. Notre Dame,Notre Dame,55,Pittsburgh,54,1,1
2024-11-30,@ Toledo,Oakland vs. Toledo,Toledo,52,Oakland,85,0,-33
2024-12-05,@ Oakland,Wright State vs. Oakland,Oakland,66,Wright State,64,1,2
2024-12-07,@ Youngstown State,Oakland vs. Youngstown State,Youngstown State,66,Oakland,50,1,16
2024-12-23,Neutral,Oakland vs. Oregon State,Oregon State,80,Oakland,74,1,6
2025-01-04,@ Oakland,Robert Morris vs. Oakland,Oakland,71,Robert Morris,79,0,-8
2025-01-09,@ Wright State,Oakland vs. Wright State,Wright State,66,Oakland,62,1,4
2025-01-15,@ Oakland,IU Indy vs. Oakland,Oakland,72,IU Indy,59,1,13
2025-01-22,@ Oakland,Purdue Fort Wayne vs. Oakland,Oakland,76,Purdue Fort Wayne,72,1,4
2025-01-25,@ Robert Morris,Oakland vs. Robert Morris,Robert Morris,73,Oakland,71,1,2
2025-02-06,@ Oakland,Youngstown State vs. Oakland,Oakland,75,Youngstown State,84,0,-9
2025-02-12,@ IU Indy,Oakland vs. IU Indy,IU Indy,67,Oakland,82,0,-15
2025-02-21,@ Purdue Fort Wayne,Oakland vs. Purdue Fort Wayne,Purdue Fort Wayne,80,Oakland,66,1,14
2025-03-10,Neutral,Oakland vs. Robert Morris,Robert Morris,79,Oakland,76,1,3
2024-11-09,@ Ohio,UNC Asheville vs. Ohio,Ohio,82,UNC Asheville,76,1,6
2024-11-22,Neutral,Portland vs. Ohio,Ohio,85,Portland,73,1,12
2024-11-24,Neutral,Ohio vs. Texas State,Texas State,74,Ohio,65,1,9
2024-11-30,@ Ohio,Robert Morris vs. Ohio,Ohio,84,Robert Morris,68,1,16
2025-01-28,@ Ohio,Toledo vs. Ohio,Ohio,83,Toledo,86,0,-3
2025-02-04,@ Ohio,Western Michigan vs. Ohio,Ohio,94,Western Michigan,69,1,25
