G,Date,Location,Opp,Game Type,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp eFG%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
6,2021-11-24,N,Idaho,REG (Non-Conf),W,67,63,20,55,0.364,3,14,0.214,17,41,0.415,0.391,24,41,0.585,20,24,44,10,7,4,16,29,18,46,0.391,4,15,0.267,14,31,0.452,0.435,23,37,0.622,8,22,30,9,4,6,15,32,Cal Poly
7,2021-12-02,@,California Baptist,REG (Non-Conf),L,55,64,23,55,0.418,5,15,0.333,18,40,0.45,0.464,4,11,0.364,12,26,38,12,3,2,13,23,22,56,0.393,7,22,0.318,15,34,0.441,0.455,13,17,0.765,9,25,34,18,2,3,6,18,Cal Poly
8,2021-12-05,@,San Diego,REG (Non-Conf),L,51,52,22,53,0.415,4,11,0.364,18,42,0.429,0.453,3,7,0.429,8,25,33,12,3,0,8,18,16,45,0.356,9,22,0.409,7,23,0.304,0.456,11,17,0.647,5,21,26,11,4,0,8,13,Cal Poly
9,2021-12-11,@,Portland State,REG (Non-Conf),W,61,58,19,46,0.413,6,11,0.545,13,35,0.371,0.478,17,22,0.773,6,23,29,11,5,2,18,25,20,53,0.377,5,17,0.294,15,36,0.417,0.425,13,21,0.619,10,22,32,10,10,5,18,24,Cal Poly
10,2021-12-13,@,Portland,REG (Non-Conf),L,77,78,28,54,0.519,6,15,0.4,22,39,0.564,0.574,15,19,0.789,9,24,33,10,7,1,12,19,25,56,0.446,11,25,0.44,14,31,0.452,0.545,17,19,0.895,7,19,26,17,4,2,9,14,Cal Poly
11,2021-12-17,@,Fresno State,REG (Non-Conf),L,48,83,15,48,0.313,7,29,0.241,8,19,0.421,0.385,11,14,0.786,8,15,23,9,2,0,14,16,30,57,0.526,11,21,0.524,19,36,0.528,0.623,12,15,0.8,10,24,34,18,8,1,9,15,Cal Poly
12,2022-01-08,@,Cal State Northridge,REG (Conf),L,55,68,17,50,0.34,5,22,0.227,12,28,0.429,0.39,16,19,0.842,7,28,35,9,0,1,11,14,24,55,0.436,8,21,0.381,16,34,0.471,0.509,12,16,0.75,7,22,29,14,5,2,3,18,Cal Poly
13,2022-01-13,,UC Riverside,REG (Conf),L,46,57,19,50,0.38,3,16,0.188,16,34,0.471,0.41,5,8,0.625,2,29,31,9,4,1,12,19,17,51,0.333,7,18,0.389,10,33,0.303,0.402,16,20,0.8,3,28,31,10,4,3,9,12,Cal Poly
14,2022-01-15,,UC Davis,REG (Conf),W,82,74,25,51,0.49,6,16,0.375,19,35,0.543,0.549,26,32,0.813,5,25,30,16,3,6,9,17,30,72,0.417,7,21,0.333,23,51,0.451,0.465,7,12,0.583,18,17,35,14,3,5,10,18,Cal Poly
15,2022-01-18,@,Cal State Bakersfield,REG (Conf),L,60,73,18,32,0.563,7,13,0.538,11,19,0.579,0.672,17,24,0.708,0,18,18,5,2,0,20,23,23,53,0.434,5,16,0.313,18,37,0.486,0.481,22,29,0.759,14,16,30,4,10,0,11,24,Cal Poly
16,2022-01-22,,Hawaii,REG (Conf),L,56,69,18,54,0.333,3,14,0.214,15,40,0.375,0.361,17,19,0.895,3,27,30,10,4,4,10,18,22,53,0.415,7,18,0.389,15,35,0.429,0.481,18,21,0.857,5,26,31,7,2,3,11,21,Cal Poly
17,2022-01-27,@,UC San Diego,REG (Conf),W,59,55,20,50,0.4,3,17,0.176,17,33,0.515,0.43,16,18,0.889,6,32,38,10,9,3,24,18,20,60,0.333,8,30,0.267,12,30,0.4,0.4,7,9,0.778,7,22,29,13,10,0,17,20,Cal Poly
18,2022-01-29,@,UC Irvine,REG (Conf),L,48,72,17,44,0.386,5,15,0.333,12,29,0.414,0.443,9,20,0.45,3,21,24,8,4,3,15,22,27,53,0.509,4,13,0.308,23,40,0.575,0.547,14,21,0.667,9,26,35,9,4,2,11,24,Cal Poly
19,2022-02-03,@,Cal State Fullerton,REG (Conf),L,50,61,18,49,0.367,8,21,0.381,10,28,0.357,0.449,6,7,0.857,9,29,38,11,6,3,22,21,18,56,0.321,2,14,0.143,16,42,0.381,0.339,23,26,0.885,9,21,30,13,14,3,10,15,Cal Poly
20,2022-02-05,@,Long Beach State,REG (Conf),L,65,78,21,52,0.404,6,21,0.286,15,31,0.484,0.462,17,22,0.773,6,29,35,10,1,4,19,28,19,65,0.292,7,25,0.28,12,40,0.3,0.346,33,36,0.917,7,20,27,11,7,5,7,19,Cal Poly
21,2022-02-10,,Cal State Northridge,REG (Conf),L,78,83,24,56,0.429,7,28,0.25,17,28,0.607,0.491,23,29,0.793,10,27,37,11,8,4,18,21,26,61,0.426,12,25,0.48,14,36,0.389,0.525,19,34,0.559,12,20,32,15,11,4,14,25,Cal Poly
22,2022-02-12,,UC Santa Barbara,REG (Conf),L,64,69,24,57,0.421,4,21,0.19,20,36,0.556,0.456,12,14,0.857,11,19,30,9,6,1,12,20,23,44,0.523,9,17,0.529,14,27,0.519,0.625,14,18,0.778,2,19,21,12,6,3,11,16,Cal Poly
23,2022-02-19,@,UC Riverside,REG (Conf),L,58,78,22,57,0.386,6,21,0.286,16,36,0.444,0.439,8,14,0.571,8,22,30,13,6,0,13,15,32,54,0.593,7,17,0.412,25,37,0.676,0.657,7,12,0.583,2,29,31,18,6,2,11,17,Cal Poly
24,2022-02-22,,Cal State Bakersfield,REG (Conf),L,60,61,20,51,0.392,5,21,0.238,15,30,0.5,0.441,15,18,0.833,8,18,26,10,4,2,11,15,22,52,0.423,4,14,0.286,18,38,0.474,0.462,13,15,0.867,6,21,27,7,4,3,9,18,Cal Poly
25,2022-02-24,@,Hawaii,REG (Conf),L,54,63,20,45,0.444,5,15,0.333,15,30,0.5,0.5,9,13,0.692,3,21,24,6,6,3,17,20,22,49,0.449,8,21,0.381,14,28,0.5,0.531,11,17,0.647,7,19,26,9,5,2,13,16,Cal Poly
26,2022-03-03,,UC Irvine,REG (Conf),W,65,54,21,55,0.382,6,19,0.316,15,36,0.417,0.436,17,17,1.0,9,22,31,12,5,1,11,14,18,47,0.383,5,17,0.294,13,30,0.433,0.436,13,16,0.813,7,17,24,8,7,3,13,18,Cal Poly
27,2022-03-05,,UC San Diego,REG (Conf),W,80,76,28,51,0.549,8,22,0.364,20,29,0.69,0.627,16,19,0.842,6,22,28,15,2,3,9,19,24,57,0.421,12,23,0.522,12,34,0.353,0.526,16,16,1.0,6,16,22,13,5,1,4,17,Cal Poly
28,2022-03-08,N,UC Davis,CTOURN,L,53,63,21,52,0.404,4,19,0.211,17,33,0.515,0.442,7,11,0.636,5,22,27,10,4,2,16,19,21,52,0.404,4,14,0.286,17,38,0.447,0.442,17,22,0.773,5,25,30,5,6,2,11,18,Cal Poly
1,2021-11-09,@,UCLA,REG (Non-Conf),L,58,95,24,64,0.375,7,17,0.412,17,47,0.362,0.43,3,8,0.375,5,26,31,11,8,2,13,21,31,62,0.5,13,27,0.481,18,35,0.514,0.605,20,26,0.769,5,34,39,13,7,8,11,12,Cal State Bakersfield
2,2021-11-13,,,REG (Non-Conf),W,85,60,34,68,0.5,6,23,0.261,28,45,0.622,0.544,11,18,0.611,17,22,39,18,9,3,11,17,22,48,0.458,8,22,0.364,14,26,0.538,0.542,8,16,0.5,4,16,20,9,4,1,18,19,Cal State Bakersfield
3,2021-11-18,@,Northern Arizona,REG (Non-Conf),L,64,74,27,65,0.415,3,9,0.333,24,56,0.429,0.438,7,12,0.583,9,22,31,4,5,1,9,24,23,47,0.489,9,22,0.409,14,25,0.56,0.585,19,30,0.633,8,28,36,14,6,4,15,17,Cal State Bakersfield
4,2021-11-22,,,REG (Non-Conf),W,99,54,34,64,0.531,5,14,0.357,29,50,0.58,0.57,26,37,0.703,14,28,42,20,12,6,14,22,17,46,0.37,7,22,0.318,10,24,0.417,0.446,13,22,0.591,2,21,23,12,5,1,22,25,Cal State Bakersfield
5,2021-11-26,@,Boise State,REG (Non-Conf),W,46,39,18,46,0.391,3,10,0.3,15,36,0.417,0.424,7,14,0.5,7,28,35,5,4,2,13,18,13,58,0.224,6,32,0.188,7,26,0.269,0.276,7,13,0.538,15,20,35,5,6,2,12,12,Cal State Bakersfield
6,2021-12-03,,,REG (Non-Conf),W,87,59,35,73,0.479,5,13,0.385,30,60,0.5,0.514,12,19,0.632,17,27,44,11,13,8,11,18,18,54,0.333,9,25,0.36,9,29,0.31,0.417,14,19,0.737,8,19,27,12,2,2,20,19,Cal State Bakersfield
7,2021-12-11,,Idaho,REG (Non-Conf),W,59,58,24,58,0.414,2,9,0.222,22,49,0.449,0.431,9,10,0.9,11,20,31,10,6,4,9,20,19,51,0.373,9,25,0.36,10,26,0.385,0.461,11,16,0.688,11,17,28,15,2,4,14,17,Cal State Bakersfield
8,2021-12-15,@,Abilene Christian,REG (Non-Conf),L,59,69,22,56,0.393,4,11,0.364,18,45,0.4,0.429,11,20,0.55,12,24,36,6,9,2,24,30,17,44,0.386,5,17,0.294,12,27,0.444,0.443,30,40,0.75,9,22,31,11,14,3,20,22,Cal State Bakersfield
9,2021-12-18,@,Colorado,REG (Non-Conf),L,46,60,15,55,0.273,2,14,0.143,13,41,0.317,0.291,14,19,0.737,11,20,31,4,10,4,11,18,19,45,0.422,7,17,0.412,12,28,0.429,0.5,15,19,0.789,7,28,35,16,6,4,13,16,Cal State Bakersfield
10,2021-12-21,,Dartmouth,REG (Non-Conf),W,61,57,24,53,0.453,3,12,0.25,21,41,0.512,0.481,10,15,0.667,7,23,30,8,6,3,8,15,19,50,0.38,11,32,0.344,8,18,0.444,0.49,8,12,0.667,4,21,25,12,4,2,14,14,Cal State Bakersfield
11,2021-12-30,,Cal State Fullerton,REG (Conf),L,67,73,26,63,0.413,7,21,0.333,19,42,0.452,0.468,8,16,0.5,13,22,35,13,7,2,12,25,21,49,0.429,4,18,0.222,17,31,0.548,0.469,27,38,0.711,5,25,30,11,6,2,12,14,Cal State Bakersfield
12,2022-01-15,,UC Riverside,REG (Conf),L,64,65,23,57,0.404,5,11,0.455,18,46,0.391,0.447,13,15,0.867,13,25,38,13,4,0,11,20,22,52,0.423,6,27,0.222,16,25,0.64,0.481,15,20,0.75,7,21,28,12,6,0,9,16,Cal State Bakersfield
13,2022-01-18,,Cal Poly,REG (Conf),W,73,60,23,53,0.434,5,16,0.313,18,37,0.486,0.481,22,29,0.759,14,16,30,4,10,0,11,24,18,32,0.563,7,13,0.538,11,19,0.579,0.672,17,24,0.708,0,18,18,5,2,0,20,23,Cal State Bakersfield
14,2022-01-20,,Hawaii,REG (Conf),L,59,63,21,50,0.42,3,9,0.333,18,41,0.439,0.45,14,18,0.778,6,20,26,6,3,3,5,18,24,52,0.462,5,17,0.294,19,35,0.543,0.51,10,12,0.833,6,18,24,10,3,0,9,17,Cal State Bakersfield
15,2022-01-27,@,UC Irvine,REG (Conf),L,52,57,21,54,0.389,0,12,0.0,21,42,0.5,0.389,10,15,0.667,14,15,29,4,8,1,11,19,20,46,0.435,1,12,0.083,19,34,0.559,0.446,16,22,0.727,12,16,28,8,5,5,14,15,Cal State Bakersfield
16,2022-01-29,@,UC San Diego,REG (Conf),L,75,83,31,66,0.47,7,24,0.292,24,42,0.571,0.523,6,8,0.75,14,20,34,17,3,1,9,21,23,46,0.5,10,23,0.435,13,23,0.565,0.609,27,32,0.844,5,16,21,15,6,2,7,12,Cal State Bakersfield
17,2022-02-03,@,Long Beach State,REG (Conf),L,65,74,26,63,0.413,7,21,0.333,19,42,0.452,0.468,6,9,0.667,10,20,30,11,4,1,12,26,23,53,0.434,5,15,0.333,18,38,0.474,0.481,23,31,0.742,8,26,34,14,8,4,10,15,Cal State Bakersfield
18,2022-02-05,@,Cal State Fullerton,REG (Conf),L,61,75,23,58,0.397,2,13,0.154,21,45,0.467,0.414,13,21,0.619,11,22,33,9,7,1,14,21,22,51,0.431,12,22,0.545,10,29,0.345,0.549,19,21,0.905,7,25,32,12,6,1,16,22,Cal State Bakersfield
19,2022-02-10,,UC Santa Barbara,REG (Conf),L,62,74,17,47,0.362,1,8,0.125,16,39,0.41,0.372,27,33,0.818,8,16,24,10,4,1,11,24,26,43,0.605,5,15,0.333,21,28,0.75,0.663,17,26,0.654,4,22,26,7,7,2,15,28,Cal State Bakersfield
20,2022-02-12,,Cal State Northridge,REG (Conf),L,65,71,19,52,0.365,6,18,0.333,13,34,0.382,0.423,21,26,0.808,13,20,33,12,4,3,14,21,25,50,0.5,8,19,0.421,17,31,0.548,0.58,13,24,0.542,9,16,25,10,12,2,13,23,Cal State Bakersfield
21,2022-02-17,@,UC Riverside,REG (Conf),L,69,79,27,60,0.45,1,6,0.167,26,54,0.481,0.458,14,14,1.0,7,19,26,15,5,2,11,18,27,51,0.529,9,20,0.45,18,31,0.581,0.618,16,20,0.8,6,24,30,18,6,0,12,17,Cal State Bakersfield
22,2022-02-19,@,UC Davis,REG (Conf),L,79,81,27,59,0.458,5,16,0.313,22,43,0.512,0.5,20,23,0.87,9,15,24,13,2,0,7,26,24,44,0.545,4,13,0.308,20,31,0.645,0.591,29,35,0.829,5,19,24,9,2,0,9,22,Cal State Bakersfield
23,2022-02-22,@,Cal Poly,REG (Conf),W,61,60,22,52,0.423,4,14,0.286,18,38,0.474,0.462,13,15,0.867,6,21,27,7,4,3,9,18,20,51,0.392,5,21,0.238,15,30,0.5,0.441,15,18,0.833,8,18,26,10,4,2,11,15,Cal State Bakersfield
24,2022-02-26,@,Hawaii,REG (Conf),L,50,62,20,51,0.392,1,10,0.1,19,41,0.463,0.402,9,11,0.818,6,20,26,6,2,3,10,19,17,42,0.405,7,15,0.467,10,27,0.37,0.488,21,26,0.808,4,19,23,11,5,3,9,15,Cal State Bakersfield
25,2022-03-03,,UC San Diego,REG (Conf),L,70,72,29,67,0.433,4,13,0.308,25,54,0.463,0.463,8,12,0.667,16,21,37,12,5,2,8,18,23,46,0.5,10,21,0.476,13,25,0.52,0.609,16,20,0.8,2,21,23,14,4,2,11,15,Cal State Bakersfield
26,2022-03-05,,UC Irvine,REG (Conf),L,61,66,23,57,0.404,3,8,0.375,20,49,0.408,0.43,12,17,0.706,8,17,25,7,4,2,9,17,23,50,0.46,6,20,0.3,17,30,0.567,0.52,14,17,0.824,6,25,31,9,3,3,12,19,Cal State Bakersfield
27,2022-03-08,N,Cal State Northridge,CTOURN,W,58,45,22,45,0.489,2,8,0.25,20,37,0.541,0.511,12,24,0.5,6,25,31,12,5,5,8,16,15,46,0.326,3,16,0.188,12,30,0.4,0.359,12,14,0.857,4,21,25,8,2,1,10,22,Cal State Bakersfield
28,2022-03-10,N,Long Beach State,CTOURN,L,61,72,25,57,0.439,4,12,0.333,21,45,0.467,0.474,7,11,0.636,8,22,30,11,10,2,19,23,22,51,0.431,8,18,0.444,14,33,0.424,0.51,20,26,0.769,5,19,24,12,9,3,16,18,Cal State Bakersfield
1,2021-11-09,@,Santa Clara,REG (Non-Conf),L,77,84,31,59,0.525,2,12,0.167,29,47,0.617,0.542,13,19,0.684,16,18,34,11,1,2,16,17,34,60,0.567,5,15,0.333,29,45,0.644,0.608,11,13,0.846,6,15,21,19,8,0,8,20,Cal State Fullerton
2,2021-11-11,@,San Jose State,REG (Non-Conf),L,76,78,27,51,0.529,4,12,0.333,23,39,0.59,0.569,18,21,0.857,6,19,25,14,6,1,12,16,28,61,0.459,14,28,0.5,14,33,0.424,0.574,8,12,0.667,10,18,28,18,4,5,13,23,Cal State Fullerton
3,2021-11-16,,George Washington,REG (Non-Conf),W,74,59,26,60,0.433,4,11,0.364,22,49,0.449,0.467,18,20,0.9,15,25,40,6,5,2,10,12,22,59,0.373,7,25,0.28,15,34,0.441,0.432,8,12,0.667,11,17,28,11,6,4,13,21,Cal State Fullerton
4,2021-11-19,@,San Diego,REG (Non-Conf),W,57,55,20,59,0.339,5,17,0.294,15,42,0.357,0.381,12,15,0.8,12,21,33,8,8,3,10,10,20,46,0.435,9,19,0.474,11,27,0.407,0.533,6,10,0.6,2,26,28,10,6,5,16,19,Cal State Fullerton
5,2021-11-23,N,Texas-Rio Grande Valley,REG (Non-Conf),L,67,72,23,60,0.383,4,20,0.2,19,40,0.475,0.417,17,25,0.68,7,24,31,11,6,2,12,21,25,56,0.446,6,16,0.375,19,40,0.475,0.5,16,25,0.64,10,30,40,12,1,4,15,21,Cal State Fullerton
6,2021-11-24,@,Northern Arizona,REG (Non-Conf),W,73,56,26,52,0.5,5,15,0.333,21,37,0.568,0.548,16,24,0.667,8,21,29,6,6,5,6,22,17,47,0.362,5,21,0.238,12,26,0.462,0.415,17,24,0.708,9,18,27,8,4,3,14,22,Cal State Fullerton
7,2021-11-29,,Wyoming,REG (Non-Conf),L,66,79,25,52,0.481,4,16,0.25,21,36,0.583,0.519,12,16,0.75,3,21,24,8,5,2,8,19,30,58,0.517,9,21,0.429,21,37,0.568,0.595,10,16,0.625,5,25,30,14,2,2,8,16,Cal State Fullerton
8,2021-12-04,,Pacific,REG (Non-Conf),W,66,57,23,51,0.451,8,21,0.381,15,30,0.5,0.529,12,12,1.0,4,26,30,10,9,3,13,12,22,52,0.423,5,16,0.313,17,36,0.472,0.471,8,11,0.727,2,22,24,16,7,4,14,13,Cal State Fullerton
9,2021-12-08,@,San Diego State,REG (Non-Conf),L,56,66,21,54,0.389,7,22,0.318,14,32,0.438,0.454,7,10,0.7,8,16,24,10,8,0,16,19,24,53,0.453,8,18,0.444,16,35,0.457,0.528,10,14,0.714,9,22,31,15,11,5,16,12,Cal State Fullerton
10,2021-12-11,,,REG (Non-Conf),W,87,59,33,66,0.5,9,29,0.31,24,37,0.649,0.568,12,15,0.8,15,27,42,21,14,3,14,9,20,56,0.357,14,34,0.412,6,22,0.273,0.482,5,6,0.833,4,19,23,13,12,2,19,17,Cal State Fullerton
11,2021-12-17,,,REG (Non-Conf),W,93,78,33,62,0.532,2,12,0.167,31,50,0.62,0.548,25,34,0.735,9,29,38,15,11,3,15,17,25,58,0.431,11,27,0.407,14,31,0.452,0.526,17,23,0.739,5,21,26,11,9,3,22,29,Cal State Fullerton
12,2021-12-30,@,Cal State Bakersfield,REG (Conf),W,73,67,21,49,0.429,4,18,0.222,17,31,0.548,0.469,27,38,0.711,5,25,30,11,6,2,12,14,26,63,0.413,7,21,0.333,19,42,0.452,0.468,8,16,0.5,13,22,35,13,7,2,12,25,Cal State Fullerton
13,2022-01-13,,Cal State Northridge,REG (Conf),W,79,64,28,61,0.459,2,15,0.133,26,46,0.565,0.475,21,29,0.724,12,23,35,12,5,3,10,20,24,61,0.393,1,12,0.083,23,49,0.469,0.402,15,21,0.714,14,22,36,7,10,2,13,23,Cal State Fullerton
14,2022-01-15,,UC Santa Barbara,REG (Conf),W,79,73,27,52,0.519,6,11,0.545,21,41,0.512,0.577,19,29,0.655,11,25,36,11,5,2,16,19,23,55,0.418,10,23,0.435,13,32,0.406,0.509,17,21,0.81,8,16,24,16,8,3,13,25,Cal State Fullerton
15,2022-01-20,@,UC Irvine,REG (Conf),W,65,63,21,51,0.412,1,13,0.077,20,38,0.526,0.422,22,28,0.786,9,21,30,6,7,2,6,11,27,59,0.458,7,19,0.368,20,40,0.5,0.517,2,3,0.667,8,23,31,16,3,7,9,21,Cal State Fullerton
16,2022-01-22,,UC San Diego,REG (Conf),W,83,80,31,60,0.517,11,21,0.524,20,39,0.513,0.608,10,12,0.833,8,20,28,14,10,0,13,14,31,53,0.585,10,21,0.476,21,32,0.656,0.679,8,14,0.571,3,17,20,18,8,2,12,16,Cal State Fullerton
17,2022-01-27,@,UC Davis,REG (Conf),W,74,58,27,60,0.45,7,18,0.389,20,42,0.476,0.508,13,13,1.0,5,25,30,9,6,2,10,18,23,59,0.39,8,18,0.444,15,41,0.366,0.458,4,10,0.4,10,23,33,8,2,3,16,16,Cal State Fullerton
18,2022-01-29,@,UC Riverside,REG (Conf),L,54,67,16,56,0.286,5,17,0.294,11,39,0.282,0.33,17,18,0.944,8,28,36,6,4,2,16,17,21,51,0.412,5,21,0.238,16,30,0.533,0.461,20,21,0.952,0,27,27,9,9,2,10,17,Cal State Fullerton
19,2022-02-03,,Cal Poly,REG (Conf),W,61,50,18,56,0.321,2,14,0.143,16,42,0.381,0.339,23,26,0.885,9,21,30,13,14,3,10,15,18,49,0.367,8,21,0.381,10,28,0.357,0.449,6,7,0.857,9,29,38,11,6,3,22,21,Cal State Fullerton
20,2022-02-05,,Cal State Bakersfield,REG (Conf),W,75,61,22,51,0.431,12,22,0.545,10,29,0.345,0.549,19,21,0.905,7,25,32,12,6,1,16,22,23,58,0.397,2,13,0.154,21,45,0.467,0.414,13,21,0.619,11,22,33,9,7,1,14,21,Cal State Fullerton
21,2022-02-08,@,Long Beach State,REG (Conf),L,61,71,20,59,0.339,8,21,0.381,12,38,0.316,0.407,13,17,0.765,12,29,41,11,6,3,13,15,26,64,0.406,9,24,0.375,17,40,0.425,0.477,10,14,0.714,9,28,37,14,8,6,9,18,Cal State Fullerton
22,2022-02-12,@,Hawaii,REG (Conf),L,55,72,19,59,0.322,5,17,0.294,14,42,0.333,0.364,12,20,0.6,6,22,28,10,9,0,7,15,27,58,0.466,8,22,0.364,19,36,0.528,0.534,10,17,0.588,11,34,45,13,5,4,14,21,Cal State Fullerton
23,2022-02-17,@,UC Santa Barbara,REG (Conf),W,67,58,22,44,0.5,5,12,0.417,17,32,0.531,0.557,18,24,0.75,4,23,27,15,5,0,9,21,20,49,0.408,5,20,0.25,15,29,0.517,0.459,13,21,0.619,8,20,28,16,8,4,9,19,Cal State Fullerton
24,2022-02-19,@,Cal State Northridge,REG (Conf),W,81,73,30,51,0.588,7,19,0.368,23,32,0.719,0.657,14,16,0.875,10,22,32,15,4,1,14,14,28,54,0.519,8,16,0.5,20,38,0.526,0.593,9,12,0.75,5,11,16,13,8,3,8,19,Cal State Fullerton
25,2022-02-24,,UC Irvine,REG (Conf),W,66,64,29,56,0.518,2,14,0.143,27,42,0.643,0.536,6,9,0.667,4,15,19,14,12,2,8,11,28,50,0.56,5,13,0.385,23,37,0.622,0.61,3,4,0.75,4,25,29,10,4,3,18,15,Cal State Fullerton
26,2022-02-26,@,UC San Diego,REG (Conf),L,76,81,30,56,0.536,6,16,0.375,24,40,0.6,0.589,10,15,0.667,7,17,24,13,8,4,14,17,29,52,0.558,12,22,0.545,17,30,0.567,0.673,11,15,0.733,6,19,25,18,5,2,15,17,Cal State Fullerton
27,2022-03-03,,UC Riverside,REG (Conf),L,72,75,29,63,0.46,4,17,0.235,25,46,0.543,0.492,10,13,0.769,11,16,27,14,9,1,7,16,26,47,0.553,12,21,0.571,14,26,0.538,0.681,11,19,0.579,8,20,28,20,4,2,15,16,Cal State Fullerton
28,2022-03-05,,UC Davis,REG (Conf),W,62,59,21,53,0.396,4,15,0.267,17,38,0.447,0.434,16,21,0.762,8,22,30,7,10,3,14,17,21,56,0.375,6,20,0.3,15,36,0.417,0.429,11,14,0.786,9,25,34,14,6,1,18,21,Cal State Fullerton
29,2022-03-10,N,UC Davis,CTOURN,W,73,55,25,57,0.439,11,19,0.579,14,38,0.368,0.535,12,18,0.667,10,31,41,11,4,1,13,16,21,66,0.318,6,25,0.24,15,41,0.366,0.364,7,10,0.7,9,20,29,13,5,7,6,19,Cal State Fullerton
30,2022-03-11,N,Hawaii,CTOURN,W,58,46,19,49,0.388,4,12,0.333,15,37,0.405,0.429,16,23,0.696,6,25,31,11,8,4,8,15,15,54,0.278,7,24,0.292,8,30,0.267,0.343,9,10,0.9,10,24,34,6,3,3,15,21,Cal State Fullerton
31,2022-03-12,N,Long Beach State,CTOURN,W,72,71,25,48,0.521,11,20,0.55,14,28,0.5,0.635,11,16,0.688,7,11,18,15,8,0,13,15,26,50,0.52,12,27,0.444,14,23,0.609,0.64,7,10,0.7,10,13,23,15,5,0,14,19,Cal State Fullerton
32,2022-03-18,N,Duke,ROUND-64,L,61,78,24,64,0.375,5,17,0.294,19,47,0.404,0.414,8,8,1.0,12,16,28,10,8,1,8,10,30,58,0.517,9,22,0.409,21,36,0.583,0.595,9,9,1.0,9,27,36,21,6,10,13,11,Cal State Fullerton
1,2021-11-09,@,Southern California,REG (Non-Conf),L,49,89,19,58,0.328,4,17,0.235,15,41,0.366,0.362,7,9,0.778,5,15,20,7,6,1,13,11,36,64,0.563,6,20,0.3,30,44,0.682,0.609,11,13,0.846,11,26,37,15,8,6,10,13,Cal State Northridge
2,2021-11-13,@,Notre Dame,REG (Non-Conf),L,52,68,21,48,0.438,6,12,0.5,15,36,0.417,0.5,4,6,0.667,5,21,26,6,5,1,13,17,24,49,0.49,11,27,0.407,13,22,0.591,0.602,9,14,0.643,7,20,27,14,5,2,12,15,Cal State Northridge
3,2021-11-19,,Eastern Washington,REG (Non-Conf),L,64,67,24,70,0.343,5,21,0.238,19,49,0.388,0.379,11,13,0.846,13,31,44,11,4,3,8,21,21,57,0.368,12,31,0.387,9,26,0.346,0.474,13,19,0.684,10,30,40,16,3,6,12,15,Cal State Northridge
4,2021-11-20,,Dixie State,REG (Non-Conf),W,79,73,27,54,0.5,10,15,0.667,17,39,0.436,0.593,15,21,0.714,7,28,35,16,8,3,15,28,20,48,0.417,5,17,0.294,15,31,0.484,0.469,28,35,0.8,3,23,26,12,6,2,13,22,Cal State Northridge
5,2021-11-24,,,REG (Non-Conf),W,71,62,27,55,0.491,6,17,0.353,21,38,0.553,0.545,11,17,0.647,8,25,33,13,8,7,14,12,23,60,0.383,8,24,0.333,15,36,0.417,0.45,8,10,0.8,8,22,30,13,12,3,14,18,Cal State Northridge
6,2021-11-28,@,San Diego,REG (Non-Conf),W,56,52,24,61,0.393,0,9,0.0,24,52,0.462,0.393,8,8,1.0,10,21,31,6,8,5,5,14,20,60,0.333,4,22,0.182,16,38,0.421,0.367,8,9,0.889,12,26,38,8,0,5,13,10,Cal State Northridge
7,2021-12-04,@,Fresno State,REG (Non-Conf),L,43,61,17,52,0.327,4,22,0.182,13,30,0.433,0.365,5,5,1.0,7,22,29,11,5,1,13,16,24,56,0.429,5,20,0.25,19,36,0.528,0.473,8,9,0.889,8,21,29,15,6,0,7,11,Cal State Northridge
8,2021-12-07,,Boise State,REG (Non-Conf),L,48,74,17,50,0.34,1,10,0.1,16,40,0.4,0.35,13,16,0.813,3,13,16,4,5,2,10,14,30,56,0.536,9,21,0.429,21,35,0.6,0.616,5,10,0.5,10,27,37,20,5,6,14,14,Cal State Northridge
9,2021-12-10,@,North Dakota State,REG (Non-Conf),L,54,68,21,62,0.339,4,19,0.211,17,43,0.395,0.371,8,12,0.667,6,22,28,6,6,0,5,12,27,60,0.45,5,18,0.278,22,42,0.524,0.492,9,11,0.818,9,38,47,14,4,4,11,11,Cal State Northridge
10,2021-12-18,,Portland State,REG (Non-Conf),W,69,66,19,52,0.365,6,19,0.316,13,33,0.394,0.423,25,34,0.735,16,19,35,9,12,7,17,19,22,57,0.386,5,18,0.278,17,39,0.436,0.43,17,20,0.85,11,21,32,9,10,0,17,25,Cal State Northridge
11,2021-12-22,,,REG (Non-Conf),L,80,82,30,73,0.411,9,30,0.3,21,43,0.488,0.473,11,17,0.647,14,32,46,17,8,3,11,13,32,76,0.421,12,35,0.343,20,41,0.488,0.5,6,8,0.75,14,28,42,22,9,2,13,15,Cal State Northridge
