G,Date,Location,Opp,Game Type,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp eFG%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
23,2022-02-05,@,Grambling State,REG (Conf),W,80,72,26,56,0.464,9,16,0.563,17,40,0.425,0.545,19,26,0.731,9,26,35,13,11,3,18,13,26,71,0.366,8,31,0.258,18,40,0.45,0.423,12,14,0.857,15,22,37,10,10,3,16,18,Alabama State
24,2022-02-07,@,Southern,REG (Conf),L,58,72,19,52,0.365,7,22,0.318,12,30,0.4,0.433,13,21,0.619,10,21,31,11,7,6,16,15,26,70,0.371,6,25,0.24,20,45,0.444,0.414,14,18,0.778,18,25,43,13,11,4,12,19,Alabama State
25,2022-02-12,,Arkansas-Pine Bluff,REG (Conf),L,70,75,24,48,0.5,6,14,0.429,18,34,0.529,0.563,16,30,0.533,4,17,21,15,7,1,12,23,27,60,0.45,5,19,0.263,22,41,0.537,0.492,16,22,0.727,12,24,36,7,4,4,10,22,Alabama State
26,2022-02-14,,Mississippi Valley State,REG (Conf),L,71,85,27,62,0.435,4,23,0.174,23,39,0.59,0.468,13,18,0.722,9,18,27,17,8,1,9,14,30,55,0.545,14,25,0.56,16,30,0.533,0.673,11,16,0.688,7,21,28,21,5,3,12,16,Alabama State
27,2022-02-19,@,Florida A&M,REG (Conf),L,83,86,25,61,0.41,8,15,0.533,17,46,0.37,0.475,25,38,0.658,12,18,30,12,12,0,12,19,31,53,0.585,6,16,0.375,25,37,0.676,0.642,18,25,0.72,3,25,28,21,6,4,20,26,Alabama State
28,2022-02-21,@,Bethune-Cookman,REG (Conf),W,89,78,29,51,0.569,10,21,0.476,19,30,0.633,0.667,21,26,0.808,9,18,27,15,7,4,17,16,29,59,0.492,6,17,0.353,23,42,0.548,0.542,14,19,0.737,8,12,20,15,13,0,12,22,Alabama State
29,2022-02-26,@,Alabama A&M,REG (Conf),L,65,80,23,75,0.307,4,28,0.143,19,47,0.404,0.333,15,19,0.789,13,23,36,9,6,2,6,17,26,56,0.464,4,12,0.333,22,44,0.5,0.5,24,30,0.8,7,33,40,14,3,9,9,14,Alabama State
30,2022-03-03,,Southern,REG (Conf),W,77,67,25,47,0.532,6,14,0.429,19,33,0.576,0.596,21,27,0.778,9,25,34,11,7,6,27,21,23,56,0.411,2,14,0.143,21,42,0.5,0.429,19,28,0.679,6,15,21,5,15,2,14,21,Alabama State
31,2022-03-05,,Grambling State,REG (Conf),W,78,75,24,49,0.49,8,21,0.381,16,28,0.571,0.571,22,26,0.846,5,28,33,14,6,7,11,15,28,61,0.459,9,21,0.429,19,40,0.475,0.533,10,19,0.526,8,23,31,10,7,0,11,20,Alabama State
1,2021-11-09,,Towson,REG (Non-Conf),L,56,77,19,53,0.358,5,24,0.208,14,29,0.483,0.406,13,14,0.929,5,22,27,8,3,5,14,19,30,64,0.469,7,24,0.292,23,40,0.575,0.523,10,22,0.455,13,25,38,14,10,4,9,16,Albany (NY)
2,2021-11-13,@,La Salle,REG (Non-Conf),L,64,67,22,48,0.458,7,15,0.467,15,33,0.455,0.531,13,19,0.684,6,16,22,12,15,1,22,24,23,47,0.489,4,18,0.222,19,29,0.655,0.532,17,21,0.81,7,20,27,16,12,5,22,21,Albany (NY)
3,2021-11-17,,Harvard,REG (Non-Conf),L,53,60,20,55,0.364,3,15,0.2,17,40,0.425,0.391,10,16,0.625,8,26,34,6,7,5,12,21,19,51,0.373,8,23,0.348,11,28,0.393,0.451,14,17,0.824,5,26,31,10,4,1,10,17,Albany (NY)
4,2021-11-20,@,Eastern Kentucky,REG (Non-Conf),L,64,77,21,52,0.404,5,18,0.278,16,34,0.471,0.452,17,26,0.654,4,25,29,8,8,2,14,19,26,60,0.433,9,26,0.346,17,34,0.5,0.508,16,22,0.727,10,24,34,13,3,6,15,21,Albany (NY)
5,2021-11-22,@,Kentucky,REG (Non-Conf),L,61,86,24,70,0.343,7,25,0.28,17,45,0.378,0.393,6,13,0.462,10,11,21,10,9,0,10,19,32,59,0.542,5,15,0.333,27,44,0.614,0.585,17,22,0.773,10,32,42,13,3,8,17,15,Albany (NY)
6,2021-11-24,N,Eastern Illinois,REG (Non-Conf),W,64,62,23,52,0.442,8,21,0.381,15,31,0.484,0.519,10,16,0.625,3,25,28,12,5,0,11,16,25,62,0.403,9,17,0.529,16,45,0.356,0.476,3,4,0.75,8,23,31,14,2,1,8,16,Albany (NY)
7,2021-12-01,@,Kansas State,REG (Non-Conf),L,43,71,17,54,0.315,1,18,0.056,16,36,0.444,0.324,8,15,0.533,8,17,25,7,5,3,11,16,26,56,0.464,10,26,0.385,16,30,0.533,0.554,9,13,0.692,14,32,46,15,5,4,16,17,Albany (NY)
8,2021-12-07,@,Yale,REG (Non-Conf),L,52,71,19,51,0.373,6,17,0.353,13,34,0.382,0.431,8,11,0.727,6,26,32,9,10,2,19,23,23,59,0.39,10,29,0.345,13,30,0.433,0.475,15,19,0.789,10,26,36,15,8,5,13,14,Albany (NY)
9,2021-12-11,,Columbia,REG (Non-Conf),W,60,59,23,60,0.383,6,19,0.316,17,41,0.415,0.433,8,10,0.8,8,27,35,12,6,5,14,16,22,59,0.373,6,14,0.429,16,45,0.356,0.424,9,17,0.529,9,22,31,8,8,3,11,14,Albany (NY)
10,2021-12-13,@,Boston College,REG (Non-Conf),W,61,57,25,54,0.463,8,16,0.5,17,38,0.447,0.537,3,4,0.75,5,19,24,10,7,4,7,14,22,57,0.386,5,16,0.313,17,41,0.415,0.43,8,12,0.667,12,24,36,10,7,5,13,12,Albany (NY)
11,2021-12-18,N,Niagara,REG (Non-Conf),L,58,66,22,48,0.458,5,22,0.227,17,26,0.654,0.51,9,12,0.75,5,23,28,10,5,3,16,22,21,47,0.447,7,21,0.333,14,26,0.538,0.521,17,24,0.708,7,22,29,10,6,1,12,13,Albany (NY)
12,2021-12-21,@,Lehigh,REG (Non-Conf),W,68,52,24,55,0.436,5,11,0.455,19,44,0.432,0.482,15,22,0.682,9,26,35,5,7,6,9,20,19,49,0.388,5,20,0.25,14,29,0.483,0.439,9,13,0.692,1,22,23,13,1,4,14,18,Albany (NY)
13,2022-01-06,,Binghamton,REG (Conf),L,79,88,29,60,0.483,6,16,0.375,23,44,0.523,0.533,15,20,0.75,8,17,25,10,4,2,12,21,31,53,0.585,12,25,0.48,19,28,0.679,0.698,14,19,0.737,4,19,23,23,4,4,13,19,Albany (NY)
14,2022-01-08,@,New Hampshire,REG (Conf),L,62,64,20,54,0.37,5,20,0.25,15,34,0.441,0.417,17,20,0.85,7,19,26,4,10,0,11,19,21,45,0.467,10,19,0.526,11,26,0.423,0.578,12,19,0.632,4,22,26,16,5,3,15,16,Albany (NY)
15,2022-01-12,,UMass Lowell,REG (Conf),W,57,47,22,69,0.319,4,15,0.267,18,54,0.333,0.348,9,15,0.6,16,26,42,8,11,1,8,16,19,50,0.38,3,16,0.188,16,34,0.471,0.41,6,12,0.5,5,24,29,8,4,14,21,16,Albany (NY)
