G,Date,Location,Opp,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
33,2023-03-11,N,Dayton,L,68,78,25,56,0.446,9,28,0.321,9,12,0.75,9,22,13,5,0,8,19,,29,48,0.604,6,20,0.3,14,18,0.778,6,28,19,5,4,9,13,Fordham
1,2022-11-07,@,Auburn,L,52,70,21,56,0.375,7,20,0.35,3,8,0.375,7,31,9,3,4,19,23,,24,71,0.338,4,25,0.16,18,29,0.621,19,42,12,14,10,9,16,George Mason
2,2022-11-11,,Longwood,W,83,69,29,53,0.547,9,22,0.409,16,25,0.64,8,35,19,5,4,11,16,,28,59,0.475,3,13,0.231,10,17,0.588,9,28,10,7,1,12,22,George Mason
3,2022-11-13,,American,W,73,56,26,52,0.5,10,22,0.455,11,17,0.647,7,37,15,4,2,11,6,,22,61,0.361,11,31,0.355,1,2,0.5,5,24,9,7,3,10,17,George Mason
4,2022-11-18,N,Boston College,L,56,71,20,52,0.385,8,23,0.348,8,17,0.471,6,28,11,8,4,16,21,,28,58,0.483,4,7,0.571,11,18,0.611,8,34,9,6,4,12,19,George Mason
5,2022-11-19,N,Belmont,L,62,66,24,58,0.414,9,26,0.346,5,13,0.385,12,35,12,1,3,15,16,,25,56,0.446,6,21,0.286,10,15,0.667,9,29,10,11,4,8,18,George Mason
6,2022-11-21,N,Buffalo,L,74,82,24,50,0.48,5,18,0.278,21,27,0.778,8,28,13,5,3,15,24,,29,56,0.518,6,20,0.3,18,30,0.6,7,26,11,7,0,9,19,George Mason
7,2022-11-26,,Queens (NC),W,72,65,28,56,0.5,8,19,0.421,8,15,0.533,12,34,13,5,6,8,18,,22,56,0.393,9,32,0.281,12,17,0.706,10,28,11,3,0,9,13,George Mason
8,2022-11-30,,Hofstra,W (1 OT),81,77,27,63,0.429,8,26,0.308,19,23,0.826,12,40,12,1,4,15,22,,27,66,0.409,8,28,0.286,15,22,0.682,8,33,7,5,4,10,22,George Mason
9,2022-12-03,,Toledo,W,80,73,28,55,0.509,7,16,0.438,17,27,0.63,10,35,14,2,9,14,18,,27,66,0.409,4,16,0.25,15,20,0.75,8,28,9,8,3,12,23,George Mason
10,2022-12-06,,Maryland-Eastern Shore,W,67,54,23,53,0.434,8,27,0.296,13,22,0.591,11,40,17,6,3,10,14,,18,54,0.333,8,27,0.296,10,12,0.833,4,25,12,3,1,11,21,George Mason
