Aw_Tm,Aw_W,Aw_Wpct,Aw_Poss,Aw_OppPoss,Aw_OffEff,Aw_ShootEff,Aw_DefEff,Aw_OppShootEff,Aw_TmLuckW,Aw_Pts,Aw_OppPts,Aw_FGpct,Aw_3Ppct,Aw_FTpct,Aw_ORB,Aw_TRB,Aw_AST,Aw_STL,Aw_BLK,Aw_TOV,Aw_PF,Aw_OppFGpct,Aw_Opp3Ppct,Aw_OppFTpct,Aw_OppORB,Aw_OppTRB,Aw_OppAST,Aw_OppSTL,Aw_OppBLK,Aw_OppTOV,Aw_OppPF,Aw_TmLuck,Game Date,Hm_Tm,Hm_W,Hm_Wpct,Hm_Poss,Hm_OppPoss,Hm_OffEff,Hm_ShootEff,Hm_DefEff,Hm_OppShootEff,Hm_TmLuckW,Hm_Pts,Hm_OppPts,Hm_FGpct,Hm_3Ppct,Hm_FTpct,Hm_ORB,Hm_TRB,Hm_AST,Hm_STL,Hm_BLK,Hm_TOV,Hm_PF,Hm_OppFGpct,Hm_Opp3Ppct,Hm_OppFTpct,Hm_OppORB,Hm_OppTRB,Hm_OppAST,Hm_OppSTL,Hm_OppBLK,Hm_OppTOV,Hm_OppPF,Hm_TmLuck,Matchup,Home Team,Away Team,Home W,Home Pt Diff
Abilene Christian,12.0,0.5217391304347826,69.68868421052632,69.03357142857142,100.6347731847035,0.5102040816326531,103.89853512425704,0.5294117647058824,12.460127892738496,72.0,74.0,0.456,0.32,0.71,8.0,29.0,15.0,9.0,3.0,13.0,20.0,0.456,0.32,0.71,8.0,29.0,15.0,9.0,3.0,13.0,20.0,-0.4601278927384964,2023-02-04,California Baptist,13.0,0.5652173913043478,66.6468,66.72666666666666,103.7269638628642,0.5,103.04875784470273,0.47413793103448276,13.693908784446124,67.0,64.0,0.429,0.333,0.647,9.0,34.0,13.0,4.0,3.0,11.0,17.0,0.429,0.333,0.647,9.0,34.0,13.0,4.0,3.0,11.0,17.0,-0.6939087844461245,Abilene Christian vs. California Baptist,California Baptist,Abilene Christian,1,7
Sam Houston,17.0,0.7083333333333334,67.23793103448276,65.87724137931035,110.59064400049634,0.5603448275862069,92.68645908761766,0.4878048780487805,15.75002058362176,75.0,62.0,0.483,0.381,0.667,9.0,33.0,12.0,9.0,2.0,13.0,18.0,0.483,0.381,0.667,9.0,33.0,12.0,9.0,2.0,13.0,18.0,1.24997941637824,2023-02-11,Abilene Christian,13.0,0.5416666666666666,69.28434210526316,68.5227857142857,101.6162995093191,0.5141929499072356,105.22057608553789,0.5294117647058824,13.354282245247235,72.5,73.0,0.4575,0.3265,0.7395,8.0,29.0,15.0,9.0,2.5,12.5,20.0,0.4575,0.3265,0.7395,8.0,29.0,15.0,9.0,2.5,12.5,20.0,-0.3542822452472354,Sam Houston vs. Abilene Christian,Abilene Christian,Sam Houston,0,-15
Abilene Christian,13.0,0.52,68.88,68.012,100.6347731847035,0.5102040816326531,106.54261704681873,0.5294117647058824,13.447493089811983,72.0,74.0,0.456,0.333,0.769,8.0,29.0,15.0,9.0,2.0,12.0,20.0,0.456,0.333,0.769,8.0,29.0,15.0,9.0,2.0,12.0,20.0,-0.4474930898119833,2023-02-17,Grand Canyon,16.0,0.6153846153846154,64.37325757575758,65.04092592592592,112.39369159481458,0.5049019607843137,102.50701526215249,0.43333333333333335,15.202038939008705,73.5,67.0,0.436,0.3395,0.7435,9.0,33.0,11.5,4.0,3.0,10.5,18.0,0.436,0.3395,0.7435,9.0,33.0,11.5,4.0,3.0,10.5,18.0,0.7979610609912946,Abilene Christian vs. Grand Canyon,Grand Canyon,Abilene Christian,1,10
Stephen F. Austin,17.0,0.6296296296296297,68.44916666666667,69.36620689655172,108.60622017442819,0.5344827586206896,97.89343246592317,0.5,16.678242992777815,75.0,69.0,0.49,0.4,0.722,9.0,29.0,14.0,9.0,3.0,15.0,20.0,0.49,0.4,0.722,9.0,29.0,14.0,9.0,3.0,15.0,20.0,0.32175700722218536,2023-02-22,Abilene Christian,13.0,0.48148148148148145,69.28434210526316,68.5227857142857,101.6162995093191,0.5092004014720642,107.69156618667014,0.5297058823529412,13.68236214787696,72.5,74.5,0.4575,0.3265,0.768,8.0,28.5,15.0,9.0,2.0,12.0,20.0,0.4575,0.3265,0.768,8.0,28.5,15.0,9.0,2.0,12.0,20.0,-0.6823621478769599,Stephen F. Austin vs. Abilene Christian,Abilene Christian,Stephen F. Austin,0,-4
Utah Valley,21.0,0.75,71.28877831159917,71.58906794425087,107.21717932456,0.5084843255680185,93.79877553715988,0.4516559829059829,18.643403084004976,75.5,68.5,0.4615,0.346,0.7435,9.0,37.0,15.0,6.0,6.0,13.0,18.0,0.4615,0.346,0.7435,9.0,37.0,15.0,6.0,6.0,13.0,18.0,2.3565969159950235,2023-02-25,Abilene Christian,13.0,0.4642857142857143,69.68868421052632,69.03357142857142,102.59782583393469,0.5081967213114754,108.84051532652154,0.53,14.066507594578416,73.0,75.0,0.456,0.333,0.769,8.0,29.0,15.0,9.0,2.0,12.0,20.0,0.456,0.333,0.769,8.0,29.0,15.0,9.0,2.0,12.0,20.0,-1.0665075945784164,Utah Valley vs. Abilene Christian,Abilene Christian,Utah Valley,0,-4
Abilene Christian,13.0,0.4482758620689655,69.78825514874143,68.79447802197802,101.6162995093191,0.5040983606557377,107.69156618667014,0.5335185185185185,14.408042022818448,72.5,74.5,0.4555,0.333,0.768,8.0,29.0,15.0,9.0,2.0,12.0,20.0,0.4555,0.333,0.768,8.0,29.0,15.0,9.0,2.0,12.0,20.0,-1.4080420228184476,2023-03-03,Sam Houston,23.0,0.7666666666666667,66.0375,65.87724137931035,109.87573577501635,0.5531914893617021,86.83186565635881,0.4782608695652174,20.588435106234286,69.0,59.0,0.468,0.381,0.708,9.0,33.0,13.0,9.0,2.0,12.0,18.0,0.468,0.381,0.708,9.0,33.0,13.0,9.0,2.0,12.0,18.0,2.411564893765714,Abilene Christian vs. Sam Houston,Sam Houston,Abilene Christian,1,18
Abilene Christian,13.0,0.41935483870967744,69.68868421052632,68.55538461538461,100.6347731847035,0.5,108.84051532652154,0.5370370370370371,14.454543146868861,72.0,74.0,0.455,0.333,0.767,8.0,29.0,15.0,9.0,2.0,12.0,20.0,0.455,0.333,0.767,8.0,29.0,15.0,9.0,2.0,12.0,20.0,-1.4545431468688612,2023-03-07,California Baptist,16.0,0.5,66.6468,65.482,105.37905001572823,0.5,103.04875784470273,0.47413793103448276,17.059280625692885,70.0,64.0,0.429,0.333,0.654,9.0,34.0,13.0,4.0,3.0,11.0,17.0,0.429,0.333,0.654,9.0,34.0,13.0,4.0,3.0,11.0,17.0,-1.0592806256928853,Abilene Christian vs. California Baptist,California Baptist,Abilene Christian,0,-16
Abilene Christian,13.0,0.41935483870967744,69.68868421052632,68.55538461538461,100.6347731847035,0.5,108.84051532652154,0.5370370370370371,14.454543146868861,72.0,74.0,0.455,0.333,0.767,8.0,29.0,15.0,9.0,2.0,12.0,20.0,0.455,0.333,0.767,8.0,29.0,15.0,9.0,2.0,12.0,20.0,-1.4545431468688612,2023-03-07,California Baptist,16.0,0.5,66.6468,65.482,105.37905001572823,0.5,103.04875784470273,0.47413793103448276,17.059280625692885,70.0,64.0,0.429,0.333,0.654,9.0,34.0,13.0,4.0,3.0,11.0,17.0,0.429,0.333,0.654,9.0,34.0,13.0,4.0,3.0,11.0,17.0,-1.0592806256928853,Abilene Christian vs. California Baptist,California Baptist,Abilene Christian,1,7
Delaware,1.0,1.0,76.99542857142856,77.28594594594595,101.30471567885293,0.5409836065573771,69.87040054833227,0.3870967741935484,0.9793891251002499,78.0,54.0,0.475,0.333,0.545,9.0,40.0,11.0,9.0,12.0,16.0,15.0,0.475,0.333,0.545,9.0,40.0,11.0,9.0,12.0,16.0,15.0,0.02061087489975011,2022-11-11,Air Force,0.0,0.0,65.32193548387096,69.55870967741936,88.79100040494228,0.509090909090909,89.13333828003265,0.44642857142857145,0.33175471087533137,58.0,62.0,0.4,0.353,0.5,2.0,27.0,11.0,5.0,6.0,11.0,17.0,0.4,0.353,0.5,2.0,27.0,11.0,5.0,6.0,11.0,17.0,-0.33175471087533137,Delaware vs. Air Force,Air Force,Delaware,1,4
East Texas A&M,0.0,0.0,70.06107142857142,69.08,97.46821622579785,0.46013097072419107,113.66143552715275,0.5927182685253118,0.4688986969564078,68.5,78.5,0.4115,0.275,0.6499999999999999,8.5,28.5,9.5,5.5,2.0,10.0,21.5,0.4115,0.275,0.6499999999999999,8.5,28.5,9.5,5.5,2.0,10.0,21.5,-0.4688986969564078,2022-11-14,Air Force,1.0,0.5,64.82870967741935,67.54525227460712,102.68370718201385,0.5281303602058318,98.7388462785359,0.424968671679198,0.9717828971354511,66.5,66.5,0.436,0.3505,0.5900000000000001,6.0,32.5,13.5,4.5,5.0,11.0,20.0,0.436,0.3505,0.5900000000000001,6.0,32.5,13.5,4.5,5.0,11.0,20.0,0.028217102864548926,East Texas A&M vs. Air Force,Air Force,East Texas A&M,0,-4
Portland,3.0,0.75,75.93525434243176,75.94844827586206,123.26267853751236,0.5675403225806452,91.49300073297985,0.42727272727272725,2.803592663373336,90.0,69.5,0.483,0.408,0.719,8.5,37.5,16.5,2.5,3.5,16.5,19.5,0.483,0.408,0.719,8.5,37.5,16.5,2.5,3.5,16.5,19.5,0.1964073366266641,2022-11-17,Air Force,1.0,0.3333333333333333,65.32193548387096,69.55870967741936,94.50569813768185,0.5094339622641509,96.48024485253201,0.44642857142857145,1.328026449750443,69.0,71.0,0.453,0.348,0.577,7.0,35.0,15.0,5.0,5.0,11.0,22.0,0.453,0.348,0.577,7.0,35.0,15.0,5.0,5.0,11.0,22.0,-0.32802644975044304,Portland vs. Air Force,Air Force,Portland,0,-13
Mississippi Valley State,1.0,0.16666666666666666,69.63239148239148,68.71248991935485,83.13143134500028,0.4164098613251156,116.8434396494537,0.5251736111111112,1.0449872570879457,53.5,76.0,0.3685,0.3365,0.646,6.0,25.5,7.5,7.0,1.5,14.0,17.0,0.3685,0.3365,0.646,6.0,25.5,7.5,7.0,1.5,14.0,17.0,-0.04498725708794571,2022-11-23,Air Force,2.0,0.4,64.33548387096775,65.53179487179487,94.50569813768185,0.5094339622641509,96.48024485253201,0.44642857142857145,2.3966165285774577,69.0,64.0,0.453,0.348,0.68,7.0,35.0,15.0,5.0,4.0,12.0,17.0,0.453,0.348,0.68,7.0,35.0,15.0,5.0,4.0,12.0,17.0,-0.39661652857745766,Mississippi Valley State vs. Air Force,Air Force,Mississippi Valley State,1,13
Montana,3.0,0.5,64.72892307692307,65.23506756756757,96.26949985902628,0.4648345153664303,99.89636375980274,0.42589453860640303,2.953462863561337,63.0,66.0,0.40549999999999997,0.32499999999999996,0.7905,7.0,31.5,12.0,6.0,2.0,13.5,18.5,0.40549999999999997,0.32499999999999996,0.7905,7.0,31.5,12.0,6.0,2.0,13.5,18.5,0.04653713643866286,2022-11-27,Air Force,3.0,0.5,63.682741935483875,64.82692684766215,105.54105604838364,0.5283018867924528,100.09977723543868,0.4454365079365079,3.312223563977974,66.5,63.0,0.4625,0.3505,0.6285000000000001,6.5,31.5,15.5,5.0,4.5,11.5,17.0,0.4625,0.3505,0.6285000000000001,6.5,31.5,15.5,5.0,4.5,11.5,17.0,-0.312223563977974,Montana vs. Air Force,Air Force,Montana,1,3
Arkansas-Pine Bluff,2.0,0.25,69.99097222222221,69.10718894009216,89.65365115718595,0.4741869918699187,100.49596789741756,0.49128383921246926,2.8149458562772955,63.0,70.0,0.409,0.31,0.707,9.0,31.5,11.5,7.0,2.5,15.0,20.5,0.409,0.31,0.707,9.0,31.5,11.5,7.0,2.5,15.0,20.5,-0.8149458562772955,2022-11-30,Air Force,4.0,0.5714285714285714,63.029999999999994,64.12205882352941,106.3372568592383,0.5232558139534884,96.48024485253201,0.44642857142857145,3.9458835034456636,64.0,62.0,0.472,0.348,0.609,6.0,28.0,15.0,5.0,5.0,11.0,17.0,0.472,0.348,0.609,6.0,28.0,15.0,5.0,5.0,11.0,17.0,0.05411649655433637,Arkansas-Pine Bluff vs. Air Force,Air Force,Arkansas-Pine Bluff,1,28
