Aw_Tm,Aw_W,Aw_Wpct,Aw_Poss,Aw_OppPoss,Aw_OffEff,Aw_ShootEff,Aw_DefEff,Aw_OppShootEff,Aw_TmLuckW,Aw_Pts,Aw_OppPts,Aw_FGpct,Aw_3Ppct,Aw_FTpct,Aw_ORB,Aw_TRB,Aw_AST,Aw_STL,Aw_BLK,Aw_TOV,Aw_PF,Aw_OppFGpct,Aw_Opp3Ppct,Aw_OppFTpct,Aw_OppORB,Aw_OppTRB,Aw_OppAST,Aw_OppSTL,Aw_OppBLK,Aw_OppTOV,Aw_OppPF,Aw_TmLuck,Game Date,Hm_Tm,Hm_W,Hm_Wpct,Hm_Poss,Hm_OppPoss,Hm_OffEff,Hm_ShootEff,Hm_DefEff,Hm_OppShootEff,Hm_TmLuckW,Hm_Pts,Hm_OppPts,Hm_FGpct,Hm_3Ppct,Hm_FTpct,Hm_ORB,Hm_TRB,Hm_AST,Hm_STL,Hm_BLK,Hm_TOV,Hm_PF,Hm_OppFGpct,Hm_Opp3Ppct,Hm_OppFTpct,Hm_OppORB,Hm_OppTRB,Hm_OppAST,Hm_OppSTL,Hm_OppBLK,Hm_OppTOV,Hm_OppPF,Hm_TmLuck,Matchup,Home Team,Away Team,Home W,Home Pt Diff
Abilene Christian,1.0,1.0,76.06702702702702,74.53800000000001,85.45095363974873,0.47368421052631576,75.12946416592877,0.41818181818181815,0.8270515682491161,65.0,56.0,0.404,0.286,0.55,4.0,32.0,12.0,9.0,5.0,15.0,17.0,0.404,0.286,0.55,4.0,32.0,12.0,9.0,5.0,15.0,17.0,0.17294843175088392,2022-11-11,Texas A&M,1.0,1.0,75.41970588235294,77.64,115.35446735328183,0.6031746031746031,69.55177743431221,0.288135593220339,0.9933581633429037,87.0,54.0,0.508,0.462,0.611,9.0,44.0,21.0,3.0,3.0,14.0,25.0,0.508,0.462,0.611,9.0,44.0,21.0,3.0,3.0,14.0,25.0,0.006641836657096278,Abilene Christian vs. Texas A&M,Texas A&M,Abilene Christian,1,19
Abilene Christian,2.0,0.6666666666666666,76.06702702702702,74.53800000000001,86.34807205597738,0.47368421052631576,75.12946416592877,0.41818181818181815,1.8754150592031456,65.0,56.0,0.404,0.294,0.773,9.0,32.0,12.0,11.0,5.0,18.0,18.0,0.404,0.294,0.773,9.0,32.0,12.0,11.0,5.0,18.0,18.0,0.12458494079685445,2022-11-21,Wright State,3.0,0.75,76.14027027027026,77.1511324041812,106.58415448593979,0.5368589743589743,92.71670530109205,0.5081823495032145,2.6825134040367877,88.5,71.5,0.505,0.3065,0.6575,6.5,35.5,15.5,9.5,2.0,12.5,12.0,0.505,0.3065,0.6575,6.5,35.5,15.5,9.5,2.0,12.5,12.0,0.31748659596321227,Abilene Christian vs. Wright State,Wright State,Abilene Christian,1,16
Abilene Christian,2.0,0.5,76.88075489282386,74.5594761904762,85.89951284786306,0.48253176043557167,89.1864917560585,0.5045454545454545,1.9551626575468202,63.0,66.5,0.4175,0.306,0.6615,7.5,29.0,13.5,11.0,4.0,19.0,20.0,0.4175,0.306,0.6615,7.5,29.0,13.5,11.0,4.0,19.0,20.0,0.04483734245317983,2022-11-22,Weber State,1.0,0.25,65.51112499999999,66.01865763546799,90.25511591608412,0.46136363636363636,109.32682246466058,0.5556149732620321,1.2239345396729777,58.5,70.5,0.40549999999999997,0.307,0.756,5.5,27.0,8.5,5.0,3.0,12.5,15.5,0.40549999999999997,0.307,0.756,5.5,27.0,8.5,5.0,3.0,12.5,15.5,-0.22393453967297772,Abilene Christian vs. Weber State,Weber State,Abilene Christian,1,10
Abilene Christian,2.0,0.3333333333333333,72.97742655699177,72.64185714285715,90.71645849726897,0.48253176043557167,106.04201733635489,0.5387443438914028,2.3057682059291222,65.0,76.5,0.4175,0.306,0.6615,7.5,27.5,14.5,10.0,3.0,16.5,20.0,0.4175,0.306,0.6615,7.5,27.5,14.5,10.0,3.0,16.5,20.0,-0.30576820592912224,2022-11-27,Northern Arizona,2.0,0.2857142857142857,68.40242424242425,68.8176,96.44728112918355,0.46551724137931033,110.2814226519337,0.5357142857142857,2.5340590522353925,68.0,73.0,0.414,0.273,0.733,8.0,30.0,13.0,5.0,2.0,11.0,18.0,0.414,0.273,0.733,8.0,30.0,13.0,5.0,2.0,11.0,18.0,-0.5340590522353925,Abilene Christian vs. Northern Arizona,Northern Arizona,Abilene Christian,0,-10
Abilene Christian,5.0,0.5555555555555556,69.88782608695652,68.012,95.86791255552376,0.5367647058823529,103.24351934618822,0.5294117647058824,5.074713897620309,67.0,76.0,0.456,0.32,0.769,9.0,29.0,18.0,11.0,3.0,15.0,19.0,0.456,0.32,0.769,9.0,29.0,18.0,11.0,3.0,15.0,19.0,-0.07471389762030878,2022-12-06,Kansas State,7.0,0.875,66.84700000000001,66.50310344827587,101.1957170180568,0.48310071154898737,81.46172661693046,0.4532132001736865,5.923276669191829,66.5,58.0,0.436,0.3085,0.782,9.5,30.5,15.5,8.0,2.5,14.0,17.0,0.436,0.3085,0.782,9.5,30.5,15.5,8.0,2.5,14.0,17.0,1.0767233308081714,Abilene Christian vs. Kansas State,Kansas State,Abilene Christian,1,17
East Texas A&M,4.0,0.4,69.37248663101605,68.60499999999999,101.34932637940379,0.5002119841718484,100.07836226484807,0.5174288455388552,4.516644246040705,74.0,70.5,0.412,0.288,0.587,9.0,31.5,13.0,6.5,2.5,11.5,20.0,0.412,0.288,0.587,9.0,31.5,13.0,6.5,2.5,11.5,20.0,-0.5166442460407046,2022-12-10,Abilene Christian,5.0,0.5,69.78825514874143,68.5227857142857,96.93104707549577,0.5274732620320856,106.04201733635489,0.5387443438914028,5.15245486590537,66.0,76.5,0.4555,0.344,0.7025,8.5,29.0,16.5,10.0,3.0,15.0,20.0,0.4555,0.344,0.7025,8.5,29.0,16.5,10.0,3.0,15.0,20.0,-0.15245486590537016,East Texas A&M vs. Abilene Christian,Abilene Christian,East Texas A&M,1,19
Abilene Christian,6.0,0.5454545454545454,69.68868421052632,68.012,97.99418159546777,0.5367647058823529,103.24351934618822,0.53,6.0912030634732774,67.0,76.0,0.456,0.368,0.769,9.0,29.0,15.0,10.0,3.0,15.0,19.0,0.456,0.368,0.769,9.0,29.0,15.0,10.0,3.0,15.0,19.0,-0.09120306347327745,2022-12-17,Cal State Bakersfield,4.0,0.4444444444444444,65.16,65.97999999999999,92.21311475409837,0.421875,94.8509485094851,0.40217391304347827,4.497560530761158,54.0,62.0,0.391,0.333,0.636,8.0,34.0,8.0,6.0,3.0,14.0,19.0,0.391,0.333,0.636,8.0,34.0,8.0,6.0,3.0,14.0,19.0,-0.4975605307611577,Abilene Christian vs. Cal State Bakersfield,Cal State Bakersfield,Abilene Christian,0,-6
Abilene Christian,8.0,0.6153846153846154,69.68868421052632,68.012,100.6347731847035,0.5367647058823529,101.3199295509865,0.5294117647058824,7.825287108613857,67.0,64.0,0.456,0.371,0.682,9.0,29.0,15.0,10.0,3.0,15.0,19.0,0.456,0.371,0.682,9.0,29.0,15.0,10.0,3.0,15.0,19.0,0.1747128913861431,2022-12-29,Stephen F. Austin,8.0,0.6153846153846154,70.75130434782608,70.98790697674418,114.01530011769319,0.5642857142857143,97.89343246592317,0.5,8.11092233739471,80.0,69.0,0.518,0.417,0.775,10.0,29.0,15.0,9.0,3.0,16.0,19.0,0.518,0.417,0.775,10.0,29.0,15.0,9.0,3.0,16.0,19.0,-0.11092233739470991,Abilene Christian vs. Stephen F. Austin,Stephen F. Austin,Abilene Christian,1,7
Tarleton State,7.0,0.5384615384615384,69.40928571428572,69.55,110.16297125271035,0.5531914893617021,94.44367109616763,0.4897959183673469,7.178725569288745,70.0,65.0,0.489,0.333,0.653,7.0,28.0,12.0,10.0,3.0,12.0,20.0,0.489,0.333,0.653,7.0,28.0,12.0,10.0,3.0,12.0,20.0,-0.17872556928874506,2022-12-31,Abilene Christian,8.0,0.5714285714285714,69.28434210526316,67.82523076923077,100.4870781963063,0.5274732620320856,102.28172444858737,0.519091847265222,8.088605032005672,67.5,69.5,0.4575,0.3695,0.659,9.0,29.0,16.5,9.5,3.0,14.5,19.5,0.4575,0.3695,0.659,9.0,29.0,16.5,9.5,3.0,14.5,19.5,-0.08860503200567216,Tarleton State vs. Abilene Christian,Abilene Christian,Tarleton State,1,6
Southern Utah,10.0,0.625,76.72872972972974,77.22130116959065,107.1532022482692,0.5335543766578249,102.97983284643092,0.5012121212121212,9.90156924310688,82.0,76.5,0.4755,0.327,0.7284999999999999,9.0,36.5,12.0,9.0,3.0,13.5,19.0,0.4755,0.327,0.7284999999999999,9.0,36.5,12.0,9.0,3.0,13.5,19.0,0.09843075689311931,2023-01-07,Abilene Christian,9.0,0.6,69.68868421052632,68.012,100.3393832079091,0.5181818181818182,101.3199295509865,0.5087719298245614,8.81076550524778,68.0,64.0,0.456,0.368,0.682,9.0,29.0,15.0,9.0,3.0,15.0,19.0,0.456,0.368,0.682,9.0,29.0,15.0,9.0,3.0,15.0,19.0,0.18923449475222043,Southern Utah vs. Abilene Christian,Abilene Christian,Southern Utah,0,-2
Abilene Christian,9.0,0.5625,69.78825514874143,68.5227857142857,100.23396330411016,0.5141929499072356,102.28172444858737,0.519091847265222,9.239335181202124,68.5,69.0,0.4555,0.344,0.696,8.5,29.0,15.0,9.5,3.0,14.5,19.5,0.4555,0.344,0.696,8.5,29.0,15.0,9.5,3.0,14.5,19.5,-0.23933518120212405,2023-01-11,Texas-Rio Grande Valley,8.0,0.5,74.85025,74.37640711902114,104.23963403658693,0.5485588972431077,108.4025616557613,0.5169930875576036,7.688147565844471,77.5,81.5,0.5045,0.35050000000000003,0.6745000000000001,9.0,33.0,15.5,6.0,3.0,16.0,19.0,0.5045,0.35050000000000003,0.6745000000000001,9.0,33.0,15.5,6.0,3.0,16.0,19.0,0.3118524341555293,Abilene Christian vs. Texas-Rio Grande Valley,Texas-Rio Grande Valley,Abilene Christian,1,17
Abilene Christian,9.0,0.5294117647058824,69.88782608695652,69.03357142857142,100.3393832079091,0.5102040816326531,103.24351934618822,0.5294117647058824,9.370123362712357,69.0,74.0,0.455,0.32,0.71,8.0,29.0,15.0,10.0,3.0,14.0,20.0,0.455,0.32,0.71,8.0,29.0,15.0,10.0,3.0,14.0,20.0,-0.37012336271235746,2023-01-14,Tarleton State,9.0,0.5294117647058824,69.40928571428572,67.98954545454545,109.46091782722647,0.509090909090909,95.85122846064232,0.4897959183673469,9.16062433127943,70.0,65.0,0.453,0.333,0.704,7.0,28.0,12.0,9.0,2.0,12.0,20.0,0.453,0.333,0.704,7.0,28.0,12.0,9.0,2.0,12.0,20.0,-0.16062433127943088,Abilene Christian vs. Tarleton State,Tarleton State,Abilene Christian,1,9
Abilene Christian,9.0,0.5,69.78825514874143,68.5227857142857,100.23396330411016,0.5092004014720642,103.57102723522263,0.519091847265222,9.567609676834284,68.5,73.0,0.443,0.319,0.696,8.5,29.0,15.0,9.5,3.0,13.5,20.5,0.443,0.319,0.696,8.5,29.0,15.0,9.5,3.0,13.5,20.5,-0.5676096768342838,2023-01-18,Utah Valley,14.0,0.7368421052631579,70.99032258064517,70.63027027027027,106.61764705882352,0.5178571428571429,93.72654548117232,0.4473684210526316,13.024818236974282,75.0,67.0,0.464,0.353,0.75,8.0,36.0,15.0,6.0,6.0,12.0,18.0,0.464,0.353,0.75,8.0,36.0,15.0,6.0,6.0,12.0,18.0,0.9751817630257182,Abilene Christian vs. Utah Valley,Utah Valley,Abilene Christian,1,30
UT Arlington,7.0,0.35,66.71382034632035,63.9076802507837,98.4468343656908,0.43510258697591436,101.1047398002139,0.4916666666666667,8.288697018450225,63.5,64.5,0.40549999999999997,0.295,0.667,12.5,35.0,12.0,6.0,2.0,12.5,18.5,0.40549999999999997,0.295,0.667,12.5,35.0,12.0,6.0,2.0,12.5,18.5,-1.2886970184502253,2023-01-21,Abilene Christian,9.0,0.47368421052631576,69.88782608695652,69.03357142857142,100.12854340031123,0.5081967213114754,103.89853512425704,0.5294117647058824,9.577182161331226,68.0,74.0,0.431,0.318,0.682,9.0,29.0,15.0,9.0,3.0,13.0,20.0,0.431,0.318,0.682,9.0,29.0,15.0,9.0,3.0,13.0,20.0,-0.5771821613312262,UT Arlington vs. Abilene Christian,Abilene Christian,UT Arlington,1,16
Grand Canyon,13.0,0.65,64.21098484848486,64.25181818181818,107.75775322643229,0.5,101.35942306618031,0.43333333333333335,12.38962541435968,72.5,63.0,0.4335,0.305,0.7144999999999999,10.0,33.5,12.0,5.0,2.5,10.0,17.5,0.4335,0.305,0.7144999999999999,10.0,33.5,12.0,5.0,2.5,10.0,17.5,0.6103745856403204,2023-01-26,Abilene Christian,10.0,0.5,69.78825514874143,68.5227857142857,100.23396330411016,0.5092004014720642,106.36952522538928,0.5294117647058824,10.479102438331992,68.5,73.0,0.443,0.319,0.696,8.5,29.0,15.0,9.0,3.0,13.5,20.5,0.443,0.319,0.696,8.5,29.0,15.0,9.0,3.0,13.5,20.5,-0.4791024383319922,Grand Canyon vs. Abilene Christian,Abilene Christian,Grand Canyon,0,-2
Utah Tech,10.0,0.47619047619047616,70.822,71.09100000000001,109.87550396526515,0.525,100.28449941063573,0.5377358490566038,10.792709598407816,77.0,71.0,0.457,0.375,0.7,10.0,33.0,13.0,6.0,2.0,15.0,19.0,0.457,0.375,0.7,10.0,33.0,13.0,6.0,2.0,15.0,19.0,-0.7927095984078161,2023-01-28,Abilene Christian,10.0,0.47619047619047616,69.68868421052632,68.012,100.3393832079091,0.5102040816326531,108.84051532652154,0.5294117647058824,10.908624581273633,69.0,74.0,0.455,0.32,0.682,8.0,29.0,15.0,9.0,3.0,13.0,20.0,0.455,0.32,0.682,8.0,29.0,15.0,9.0,3.0,13.0,20.0,-0.9086245812736333,Utah Tech vs. Abilene Christian,Abilene Christian,Utah Tech,1,5
Abilene Christian,11.0,0.5,69.78825514874143,68.5227857142857,100.4870781963063,0.5092004014720642,106.36952522538928,0.5297058823529412,11.569907382847124,70.5,74.5,0.4555,0.319,0.696,8.5,29.0,15.0,9.0,3.0,13.5,20.5,0.4555,0.319,0.696,8.5,29.0,15.0,9.0,3.0,13.5,20.5,-0.5699073828471235,2023-02-01,Seattle,16.0,0.7272727272727273,71.64483870967742,70.75293906810035,107.27131136345608,0.5073672806067172,96.10656842339569,0.47692048517520214,13.701653997744941,72.0,66.5,0.4275,0.3185,0.7095,10.0,34.5,12.0,5.0,3.0,11.0,19.0,0.4275,0.3185,0.7095,10.0,34.5,12.0,5.0,3.0,11.0,19.0,2.298346002255059,Abilene Christian vs. Seattle,Seattle,Abilene Christian,0,-15
Abilene Christian,12.0,0.5217391304347826,69.68868421052632,69.03357142857142,100.6347731847035,0.5102040816326531,103.89853512425704,0.5294117647058824,12.460127892738496,72.0,74.0,0.456,0.32,0.71,8.0,29.0,15.0,9.0,3.0,13.0,20.0,0.456,0.32,0.71,8.0,29.0,15.0,9.0,3.0,13.0,20.0,-0.4601278927384964,2023-02-04,California Baptist,13.0,0.5652173913043478,66.6468,66.72666666666666,103.7269638628642,0.5,103.04875784470273,0.47413793103448276,13.693908784446124,67.0,64.0,0.429,0.333,0.647,9.0,34.0,13.0,4.0,3.0,11.0,17.0,0.429,0.333,0.647,9.0,34.0,13.0,4.0,3.0,11.0,17.0,-0.6939087844461245,Abilene Christian vs. California Baptist,California Baptist,Abilene Christian,0,-16
